Wind Speed(m/s),% Houses Internally Pressurized,% Debris Damage Mean
20.000,0.000,0.000
22.564,0.000,0.000
25.128,5.000,0.089
27.692,13.000,0.231
30.256,32.000,0.657
32.821,59.000,1.338
35.385,72.000,2.039
37.949,87.000,3.166
40.513,95.000,4.615
43.077,99.000,6.169
45.641,100.000,8.225
48.205,100.000,9.783
50.769,100.000,11.669
53.333,100.000,13.633
55.897,100.000,15.489
58.462,100.000,16.487
61.026,100.000,17.401
63.590,100.000,17.758
66.154,100.000,17.879
68.718,100.000,17.879
71.282,100.000,17.879
73.846,100.000,17.879
76.410,100.000,17.879
78.974,100.000,17.879
81.538,100.000,17.879
84.103,100.000,17.879
86.667,100.000,17.879
89.231,100.000,17.879
91.795,100.000,17.879
94.359,100.000,17.879
96.923,100.000,17.879
99.487,100.000,17.879
102.051,100.000,17.879
104.615,100.000,17.879
107.179,100.000,17.879
109.744,100.000,17.879
112.308,100.000,17.879
114.872,100.000,17.879
117.436,100.000,17.879
120.000,100.000,17.879
