Simulated House #, Cpi Changed At
1,30.2564102564
2,35.3846153846
3,35.3846153846
4,32.8205128205
5,45.641025641
6,40.5128205128
7,35.3846153846
8,30.2564102564
9,32.8205128205
10,32.8205128205
11,35.3846153846
12,30.2564102564
13,35.3846153846
14,30.2564102564
15,30.2564102564
16,32.8205128205
17,35.3846153846
18,43.0769230769
19,30.2564102564
20,37.9487179487
21,40.5128205128
22,25.1282051282
23,27.6923076923
24,32.8205128205
25,43.0769230769
26,32.8205128205
27,32.8205128205
28,32.8205128205
29,43.0769230769
30,37.9487179487
31,32.8205128205
32,32.8205128205
33,32.8205128205
34,30.2564102564
35,40.5128205128
36,32.8205128205
37,32.8205128205
38,27.6923076923
39,37.9487179487
40,32.8205128205
41,37.9487179487
42,25.1282051282
43,37.9487179487
44,35.3846153846
45,37.9487179487
46,37.9487179487
47,30.2564102564
48,35.3846153846
49,30.2564102564
50,32.8205128205
51,35.3846153846
52,27.6923076923
53,30.2564102564
54,30.2564102564
55,37.9487179487
56,37.9487179487
57,37.9487179487
58,30.2564102564
59,27.6923076923
60,32.8205128205
61,37.9487179487
62,40.5128205128
63,30.2564102564
64,32.8205128205
65,43.0769230769
66,30.2564102564
67,32.8205128205
68,35.3846153846
69,32.8205128205
70,32.8205128205
71,32.8205128205
72,35.3846153846
73,37.9487179487
74,32.8205128205
75,37.9487179487
76,30.2564102564
77,40.5128205128
78,27.6923076923
79,30.2564102564
80,40.5128205128
81,32.8205128205
82,30.2564102564
83,27.6923076923
84,32.8205128205
85,25.1282051282
86,30.2564102564
87,37.9487179487
88,32.8205128205
89,32.8205128205
90,35.3846153846
91,25.1282051282
92,30.2564102564
93,37.9487179487
94,32.8205128205
95,40.5128205128
96,25.1282051282
97,40.5128205128
98,27.6923076923
99,27.6923076923
100,35.3846153846
