Simulated House #, Cpi Changed At
1,
2,30.2564102564
3,32.8205128205
4,30.2564102564
5,32.8205128205
6,27.6923076923
7,37.9487179487
8,25.1282051282
9,30.2564102564
10,27.6923076923
11,
12,37.9487179487
13,
14,32.8205128205
15,32.8205128205
16,27.6923076923
17,35.3846153846
18,30.2564102564
19,32.8205128205
20,27.6923076923
21,30.2564102564
22,30.2564102564
23,40.5128205128
24,27.6923076923
25,30.2564102564
26,30.2564102564
27,27.6923076923
28,37.9487179487
29,43.0769230769
30,27.6923076923
31,32.8205128205
32,
33,32.8205128205
34,27.6923076923
35,
36,32.8205128205
37,37.9487179487
38,32.8205128205
39,
40,
41,37.9487179487
42,30.2564102564
43,32.8205128205
44,35.3846153846
45,40.5128205128
46,37.9487179487
47,32.8205128205
48,30.2564102564
49,
50,
51,27.6923076923
52,27.6923076923
53,32.8205128205
54,30.2564102564
55,32.8205128205
56,
57,30.2564102564
58,40.5128205128
59,30.2564102564
60,30.2564102564
61,35.3846153846
62,32.8205128205
63,27.6923076923
64,37.9487179487
65,32.8205128205
66,32.8205128205
67,40.5128205128
68,
69,
70,27.6923076923
71,32.8205128205
72,37.9487179487
73,27.6923076923
74,30.2564102564
75,37.9487179487
76,27.6923076923
77,43.0769230769
78,40.5128205128
79,27.6923076923
80,32.8205128205
81,35.3846153846
82,37.9487179487
83,27.6923076923
84,27.6923076923
85,25.1282051282
86,40.5128205128
87,30.2564102564
88,32.8205128205
89,48.2051282051
90,35.3846153846
91,32.8205128205
92,37.9487179487
93,
94,32.8205128205
95,32.8205128205
96,35.3846153846
97,40.5128205128
98,30.2564102564
99,27.6923076923
100,32.8205128205
