name,S,SW,W,NW,N,NE,E,SE
A1,1,1,1,0,0,0,0,0
A2,1,1,1,0,0,0,0,0
A3,1,1,1,0,0,0,0,0
A4,0,1,0,0,0,0,0,0
A5,0,1,0,0,0,0,0,0
A6,0,1,0,0,0,0,0,0
A7,0,0,0,1,0,0,0,0
A8,0,0,0,1,0,0,0,0
A9,0,0,0,1,0,0,0,0
A10,0,0,1,1,1,0,0,0
A11,0,0,1,1,1,0,0,0
A12,0,0,1,1,1,0,0,0
B1,1,1,1,0,0,0,0,0
B2,1,1,1,0,0,0,0,0
B3,1,1,1,0,0,0,0,0
B4,0,1,0,0,0,0,0,0
B5,0,1,0,0,0,0,0,0
B6,0,1,0,0,0,0,0,0
B7,0,0,0,1,0,0,0,0
B8,0,0,0,1,0,0,0,0
B9,0,0,0,1,0,0,0,0
B10,0,0,1,1,1,0,0,0
B11,0,0,1,1,1,0,0,0
B12,0,0,1,1,1,0,0,0
C1,1,1,0,0,0,0,0,0
C2,1,1,0,0,0,0,0,0
C3,1,0,0,0,0,0,0,0
C4,0,0,0,0,0,0,0,0
C5,0,0,0,0,0,0,0,0
C6,0,0,0,0,0,0,0,0
C7,0,0,0,0,0,0,0,0
C8,0,0,0,0,0,0,0,0
C9,0,0,0,0,0,0,0,0
C10,0,0,0,0,1,0,0,0
C11,0,0,0,1,1,0,0,0
C12,0,0,0,1,1,0,0,0
D1,1,1,0,0,0,0,0,0
D2,1,1,0,0,0,0,0,0
D3,1,0,0,0,0,0,0,0
D4,0,0,0,0,0,0,0,0
D5,0,0,0,0,0,0,0,0
D6,0,0,0,0,0,0,0,0
D7,0,0,0,0,0,0,0,0
D8,0,0,0,0,0,0,0,0
D9,0,0,0,0,0,0,0,0
D10,0,0,0,0,1,0,0,0
D11,0,0,0,1,1,0,0,0
D12,0,0,0,1,1,0,0,0
E1,1,1,0,0,0,0,0,0
E2,1,1,0,0,0,0,0,0
E3,1,0,0,0,0,0,0,0
E4,0,0,0,0,0,0,0,0
E5,0,0,0,0,0,0,0,0
E6,0,0,0,0,0,0,0,0
E7,0,0,0,0,0,0,0,0
E8,0,0,0,0,0,0,0,0
E9,0,0,0,0,0,0,0,0
E10,0,0,0,0,1,0,0,0
E11,0,0,0,1,1,0,0,0
E12,0,0,0,1,1,0,0,0
F1,1,1,0,0,0,0,0,0
F2,1,1,0,0,0,0,0,0
F3,1,0,0,0,0,0,0,0
F4,0,0,0,0,0,0,0,0
F5,0,0,0,0,0,0,0,0
F6,0,0,0,0,0,0,0,0
F7,0,0,0,0,0,0,0,0
F8,0,0,0,0,0,0,0,0
F9,0,0,0,0,0,0,0,0
F10,0,0,0,0,1,0,0,0
F11,0,0,0,1,1,0,0,0
F12,0,0,0,1,1,0,0,0
G1,1,1,0,0,0,0,0,0
G2,1,1,0,0,0,0,0,0
G3,1,0,0,0,0,0,0,0
G4,0,0,0,0,0,0,0,0
G5,0,0,0,0,0,0,0,0
G6,0,0,0,0,0,0,0,0
G7,0,0,0,0,0,0,0,0
G8,0,0,0,0,0,0,0,0
G9,0,0,0,0,0,0,0,0
G10,0,0,0,0,1,0,0,0
G11,0,0,0,1,1,0,0,0
G12,0,0,0,1,1,0,0,0
H1,1,1,0,0,0,0,0,1
H2,1,1,0,0,0,0,0,1
H3,1,0,0,0,0,0,0,0
H4,0,0,0,0,0,0,0,0
H5,0,0,0,0,0,0,0,0
H6,0,0,0,0,0,0,0,0
H7,0,0,0,0,0,0,0,0
H8,0,0,0,0,0,0,0,0
H9,0,0,0,0,0,0,0,0
H10,0,0,0,0,1,0,0,0
H11,0,0,0,1,1,1,0,0
H12,0,0,0,1,1,1,0,0
I1,1,0,0,0,0,0,0,1
I2,1,0,0,0,0,0,0,1
I3,1,0,0,0,0,0,0,0
I4,0,0,0,0,0,0,0,0
I5,0,0,0,0,0,0,0,0
I6,0,0,0,0,0,0,0,0
I7,0,0,0,0,0,0,0,0
I8,0,0,0,0,0,0,0,0
I9,0,0,0,0,0,0,0,0
I10,0,0,0,0,1,0,0,0
I11,0,0,0,0,1,1,0,0
I12,0,0,0,0,1,1,0,0
J1,1,0,0,0,0,0,0,1
J2,1,0,0,0,0,0,0,1
J3,1,0,0,0,0,0,0,0
J4,0,0,0,0,0,0,0,0
J5,0,0,0,0,0,0,0,0
J6,0,0,0,0,0,0,0,0
J7,0,0,0,0,0,0,0,0
J8,0,0,0,0,0,0,0,0
J9,0,0,0,0,0,0,0,0
J10,0,0,0,0,1,0,0,0
J11,0,0,0,0,1,1,0,0
J12,0,0,0,0,1,1,0,0
K1,1,0,0,0,0,0,0,1
K2,1,0,0,0,0,0,0,1
K3,1,0,0,0,0,0,0,0
K4,0,0,0,0,0,0,0,0
K5,0,0,0,0,0,0,0,0
K6,0,0,0,0,0,0,0,0
K7,0,0,0,0,0,0,0,0
K8,0,0,0,0,0,0,0,0
K9,0,0,0,0,0,0,0,0
K10,0,0,0,0,1,0,0,0
K11,0,0,0,0,1,1,0,0
K12,0,0,0,0,1,1,0,0
L1,1,0,0,0,0,0,0,1
L2,1,0,0,0,0,0,0,1
L3,1,0,0,0,0,0,0,0
L4,0,0,0,0,0,0,0,0
L5,0,0,0,0,0,0,0,0
L6,0,0,0,0,0,0,0,0
L7,0,0,0,0,0,0,0,0
L8,0,0,0,0,0,0,0,0
L9,0,0,0,0,0,0,0,0
L10,0,0,0,0,1,0,0,0
L11,0,0,0,0,1,1,0,0
L12,0,0,0,0,1,1,0,0
M1,1,0,0,0,0,0,0,1
M2,1,0,0,0,0,0,0,1
M3,1,0,0,0,0,0,0,0
M4,0,0,0,0,0,0,0,0
M5,0,0,0,0,0,0,0,0
M6,0,0,0,0,0,0,0,0
M7,0,0,0,0,0,0,0,0
M8,0,0,0,0,0,0,0,0
