Connection,Zone,Coefficent
1,A1,1
2,A2,1
3,A3,1
4,A4,1
5,A5,1
6,A6,1
7,A7,1
8,A8,1
9,A9,1
10,A10,1
11,A11,1
12,A12,1
13,B1,1
14,B2,1
15,B3,1
16,B4,1
17,B5,1
18,B6,1
19,B7,1
20,B8,1
21,B9,1
22,B10,1
23,B11,1
24,B12,1
25,C1,1
26,C2,1
27,C3,1
28,C4,1
29,C5,1
30,C6,1
31,C7,1
32,C8,1
33,C9,1
34,C10,1
35,C11,1
36,C12,1
37,D1,1
38,D2,1
39,D3,1
40,D4,1
41,D5,1
42,D6,1
43,D7,1
44,D8,1
45,D9,1
46,D10,1
47,D11,1
48,D12,1
49,E1,1
50,E2,1
51,E3,1
52,E4,1
53,E5,1
54,E6,1
55,E7,1
56,E8,1
57,E9,1
58,E10,1
59,E11,1
60,E12,1
61,F1,1
62,F2,1
63,F3,1
64,F4,1
65,F5,1
66,F6,1
67,F7,1
68,F8,1
69,F9,1
70,F10,1
71,F11,1
72,F12,1
73,G1,1
74,G2,1
75,G3,1
76,G4,1
77,G5,1
78,G6,1
79,G7,1
80,G8,1
81,G9,1
82,G10,1
83,G11,1
84,G12,1
85,H1,1
86,H2,1
87,H3,1
88,H4,1
89,H5,1
90,H6,1
91,H7,1
92,H8,1
93,H9,1
94,H10,1
95,H11,1
96,H12,1
97,I1,1
98,I2,1
99,I3,1
100,I4,1
101,I5,1
102,I6,1
103,I7,1
104,I8,1
105,I9,1
106,I10,1
107,I11,1
108,I12,1
109,J1,1
110,J2,1
111,J3,1
112,J4,1
113,J5,1
114,J6,1
115,J7,1
116,J8,1
117,J9,1
118,J10,1
119,J11,1
120,J12,1
121,K1,1
122,K2,1
123,K3,1
124,K4,1
125,K5,1
126,K6,1
127,K7,1
128,K8,1
129,K9,1
130,K10,1
131,K11,1
132,K12,1
133,L1,1
134,L2,1
135,L3,1
136,L4,1
137,L5,1
138,L6,1
139,L7,1
140,L8,1
141,L9,1
142,L10,1
143,L11,1
144,L12,1
145,M1,1
146,M2,1
147,M3,1
148,M4,1
149,M5,1
150,M6,1
151,M7,1
152,M8,1
153,M9,1
154,M10,1
155,M11,1
156,M12,1
157,N1,1
158,N2,1
159,N3,1
160,N4,1
161,N5,1
162,N6,1
163,N7,1
164,N8,1
165,N9,1
166,N10,1
167,N11,1
168,N12,1
169,O1,1
170,O2,1
171,O3,1
172,O4,1
173,O5,1
174,O6,1
175,O7,1
176,O8,1
177,O9,1
178,O10,1
179,O11,1
180,O12,1
181,A1,1
182,A2,1
183,A3,1
184,A4,1
185,A5,1
186,A6,1
187,A7,1
188,A8,1
189,A9,1
190,A10,1
191,A11,1
192,A12,1
193,B1,1
194,B2,1
195,B3,1
196,B4,1
197,B5,1
198,B6,1
199,B7,1
200,B8,1
201,B9,1
202,B10,1
203,B11,1
204,B12,1
205,C1,1
206,C2,1
207,C3,1
208,C4,1
209,C5,1
210,C6,1
211,C7,1
212,C8,1
213,C9,1
214,C10,1
215,C11,1
216,C12,1
217,D1,1
218,D2,1
219,D3,1
220,D4,1
221,D5,1
222,D6,1
223,D7,1
224,D8,1
225,D9,1
226,D10,1
227,D11,1
228,D12,1
229,E1,1
230,E2,1
231,E3,1
232,E4,1
233,E5,1
234,E6,1
235,E7,1
236,E8,1
237,E9,1
238,E10,1
239,E11,1
240,E12,1
241,F1,1
242,F2,1
243,F3,1
244,F4,1
245,F5,1
246,F6,1
247,F7,1
248,F8,1
249,F9,1
250,F10,1
251,F11,1
252,F12,1
253,G1,1
254,G2,1
255,G3,1
256,G4,1
257,G5,1
258,G6,1
259,G7,1
260,G8,1
261,G9,1
262,G10,1
263,G11,1
264,G12,1
265,H1,1
266,H2,1
267,H3,1
268,H4,1
269,H5,1
270,H6,1
271,H7,1
272,H8,1
273,H9,1
274,H10,1
275,H11,1
276,H12,1
277,I1,1
278,I2,1
279,I3,1
280,I4,1
281,I5,1
282,I6,1
283,I7,1
284,I8,1
285,I9,1
286,I10,1
287,I11,1
288,I12,1
289,J1,1
290,J2,1
291,J3,1
292,J4,1
293,J5,1
294,J6,1
295,J7,1
296,J8,1
297,J9,1
298,J10,1
299,J11,1
300,J12,1
301,K1,1
302,K2,1
303,K3,1
304,K4,1
305,K5,1
306,K6,1
307,K7,1
308,K8,1
309,K9,1
310,K10,1
311,K11,1
312,K12,1
313,L1,1
314,L2,1
315,L3,1
316,L4,1
317,L5,1
318,L6,1
319,L7,1
320,L8,1
321,L9,1
322,L10,1
323,L11,1
324,L12,1
325,M1,1
326,M2,1
327,M3,1
328,M4,1
329,M5,1
330,M6,1
331,M7,1
332,M8,1
333,M9,1
334,M10,1
335,M11,1
336,M12,1
337,N1,1
338,N2,1
339,N3,1
340,N4,1
341,N5,1
