#Terrain Category 2.5
3,0.911,0.892,0.917,0.896,0.855,0.886,1.002,0.877,0.845,0.869
5,0.915,0.933,0.921,0.968,0.941,1.005,0.959,0.932,0.920,0.971
7,0.970,0.933,1.039,0.955,1.000,0.979,1.013,0.928,0.939,0.968
10,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
12,1.043,1.052,1.060,1.012,1.003,1.068,1.064,1.017,0.963,1.048
15,1.057,1.022,1.112,1.057,1.027,1.101,1.098,1.067,1.005,1.040
17,1.086,1.070,1.077,1.111,1.063,1.104,1.095,1.053,1.057,1.121
20,1.141,1.046,1.125,1.109,1.055,1.116,1.174,1.066,1.039,1.164
25,1.241,1.141,1.156,1.199,1.164,1.153,1.273,1.163,1.123,1.204
30,1.292,1.220,1.220,1.186,1.199,1.252,1.255,1.176,1.154,1.250
