name,S,SW,W,NW,N,NE,E,SE
D4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D11,-0.1,-0.175,-0.275,0.375,0.35,0.175,-0.1,-0.175
D12,-0.2,-0.35,-0.55,0.75,0.7,0.35,-0.2,-0.35
E1,0.7,0.75,-0.3,-0.35,-0.2,-0.35,-0.2,0.35
E2,0.35,0.375,-0.15,-0.175,-0.1,-0.175,-0.1,0.175
E3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E11,-0.1,-0.175,-0.15,0.375,0.35,0.175,-0.1,-0.175
E12,-0.2,-0.35,-0.3,0.75,0.7,0.35,-0.2,-0.35
F1,0.7,0.45,-0.3,-0.35,-0.2,-0.35,-0.2,0.45
F2,0.35,0.225,-0.15,-0.175,-0.1,-0.175,-0.1,0.225
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F11,-0.1,-0.175,-0.15,0.225,0.35,0.225,-0.1,-0.175
F12,-0.2,-0.35,-0.3,0.45,0.7,0.45,-0.2,-0.35
G1,0.7,0.45,-0.3,-0.35,-0.2,-0.35,-0.2,0.45
G2,0.35,0.225,-0.15,-0.175,-0.1,-0.175,-0.1,0.225
G3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G11,-0.1,-0.175,-0.15,0.225,0.35,0.225,-0.1,-0.175
G12,-0.2,-0.35,-0.3,0.45,0.7,0.45,-0.2,-0.35
H1,0.7,0.45,-0.3,-0.35,-0.2,-0.35,-0.3,0.45
H2,0.35,0.225,-0.15,-0.175,-0.1,-0.175,-0.15,0.225
H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H11,-0.1,-0.175,-0.15,0.225,0.35,0.225,-0.15,-0.175
H12,-0.2,-0.35,-0.3,0.45,0.7,0.45,-0.3,-0.35
I1,0.7,0.45,-0.2,-0.35,-0.2,-0.35,-0.3,0.45
I2,0.35,0.225,-0.1,-0.175,-0.1,-0.175,-0.15,0.225
I3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I11,-0.1,-0.175,-0.1,0.225,0.35,0.225,-0.15,-0.175
I12,-0.2,-0.35,-0.2,0.45,0.7,0.45,-0.3,-0.35
J1,0.7,0.45,-0.2,-0.35,-0.2,-0.35,-0.3,0.45
J2,0.35,0.225,-0.1,-0.175,-0.1,-0.175,-0.15,0.225
J3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J11,-0.1,-0.175,-0.1,0.225,0.35,0.225,-0.15,-0.175
J12,-0.2,-0.35,-0.2,0.45,0.7,0.45,-0.3,-0.35
K1,0.7,0.35,-0.2,-0.35,-0.2,-0.35,-0.3,0.75
K2,0.35,0.175,-0.1,-0.175,-0.1,-0.175,-0.15,0.375
K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K11,-0.1,-0.175,-0.1,0.175,0.35,0.375,-0.15,-0.175
K12,-0.2,-0.35,-0.2,0.35,0.7,0.75,-0.3,-0.35
L1,0.7,0.35,-0.2,-0.35,-0.2,-0.35,-0.55,0.75
L2,0.35,0.175,-0.1,-0.175,-0.1,-0.175,-0.275,0.375
L3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L11,-0.1,-0.175,-0.1,0.175,0.35,0.375,-0.275,-0.175
L12,-0.2,-0.35,-0.2,0.35,0.7,0.75,-0.55,-0.35
M1,0.7,0.35,-0.2,-0.35,-0.2,-0.35,-0.55,0.75
M2,0.35,0.175,-0.1,-0.175,-0.1,-0.175,-0.275,0.375
M3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M11,-0.1,-0.175,-0.1,0.175,0.35,0.375,-0.275,-0.175
M12,-0.2,-0.35,-0.2,0.35,0.7,0.75,-0.55,-0.35
N1,0.7,0.35,-0.2,-0.35,-0.2,-0.35,-0.55,0.75
N2,0.35,0.175,-0.1,-0.175,-0.1,-0.175,-0.275,0.375
N3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N11,-0.1,-0.175,-0.1,0.175,0.35,0.375,-0.275,-0.175
N12,-0.2,-0.35,-0.2,0.35,0.7,0.75,-0.55,-0.35
O1,0.7,0.35,-0.2,-0.35,-0.2,-0.35,-0.55,0.75
O2,0.35,0.175,-0.1,-0.175,-0.1,-0.175,-0.275,0.375
O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O11,-0.1,-0.175,-0.1,0.175,0.35,0.375,-0.275,-0.175
O12,-0.2,-0.35,-0.2,0.35,0.7,0.75,-0.55,-0.35
WSA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSI2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSJ1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSJ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WND1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WND2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNI2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNJ1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNJ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
