name,S,SW,W,NW,N,NE,E,SE
A1,0.7,0.75,-0.55,-0.35,-0.2,-0.35,-0.2,0.35
A2,0.35,0.375,-0.275,-0.175,-0.1,-0.175,-0.1,0.175
A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11,-0.1,-0.175,-0.275,0.375,0.35,0.175,-0.1,-0.175
A12,-0.2,-0.35,-0.55,0.75,0.7,0.35,-0.2,-0.35
B1,0.7,0.75,-0.55,-0.35,-0.2,-0.35,-0.2,0.35
B2,0.35,0.375,-0.275,-0.175,-0.1,-0.175,-0.1,0.175
B3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B11,-0.1,-0.175,-0.275,0.375,0.35,0.175,-0.1,-0.175
B12,-0.2,-0.35,-0.55,0.75,0.7,0.35,-0.2,-0.35
C1,0.7,0.75,-0.55,-0.35,-0.2,-0.35,-0.2,0.35
C2,0.35,0.375,-0.275,-0.175,-0.1,-0.175,-0.1,0.175
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11,-0.1,-0.175,-0.275,0.375,0.35,0.175,-0.1,-0.175
C12,-0.2,-0.35,-0.55,0.75,0.7,0.35,-0.2,-0.35
D1,0.7,0.75,-0.55,-0.35,-0.2,-0.35,-0.2,0.35
D2,0.35,0.375,-0.275,-0.175,-0.1,-0.175,-0.1,0.175
D3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
