description,wall_direction,area,coverage_type
window,1,3.6,Glass_annealed_6mm
door,1,1.8,Timber_door
window,1,1.89,Glass_annealed_6mm
window,1,1.89,Glass_annealed_6mm
window,3,1.89,Glass_annealed_6mm
window,3,1.89,Glass_annealed_6mm
window,5,1.89,Glass_annealed_6mm
door,5,1.8,Timber_door
window,5,0.54,Glass_annealed_6mm
window,5,0.27,Glass_annealed_6mm
window,5,1.89,Glass_annealed_6mm
weatherboard,1,22.02,Weatherboard
sheet,3,18.22,Cement_sheeting
sheet,5,24.81,Cement_sheeting
sheet,7,22,Cement_sheeting
