conn_name,type_name,zone_loc,edge
1,sheetingcorner,A1,2
2,sheetinggable,A2,0
3,sheetinggable,A3,0
4,sheetinggable,A4,0
5,sheetinggable,A5,0
6,sheetingcorner,A6,1
7,sheetingcorner,A7,2
8,sheetinggable,A8,0
9,sheetinggable,A9,0
10,sheetinggable,A10,0
11,sheetinggable,A11,0
12,sheetingcorner,A12,1
13,sheetingeave,B1,2
14,sheeting,B2,0
15,sheeting,B3,0
16,sheeting,B4,0
17,sheeting,B5,0
18,sheetingeave,B6,1
19,sheetingeave,B7,2
20,sheeting,B8,0
21,sheeting,B9,0
22,sheeting,B10,0
23,sheeting,B11,0
24,sheetingeave,B12,1
25,sheetingeave,C1,2
26,sheeting,C2,0
27,sheeting,C3,0
28,sheeting,C4,0
29,sheetingeave,C5,0
30,sheetingeave,C6,1
31,sheeting,C7,2
32,sheeting,C8,0
33,sheeting,C9,0
34,sheeting,C10,0
35,sheeting,C11,0
36,sheetingeave,C12,1
37,sheetingeave,D1,2
38,sheeting,D2,0
39,sheeting,D3,0
40,sheeting,D4,0
41,sheeting,D5,0
42,sheetingeave,D6,1
43,sheetingeave,D7,2
44,sheeting,D8,0
45,sheeting,D9,0
46,sheeting,D10,0
47,sheeting,D11,0
48,sheetingeave,D12,1
49,sheetingeave,E1,2
50,sheeting,E2,0
51,sheeting,E3,0
52,sheeting,E4,0
53,sheeting,E5,0
54,sheetingeave,E6,1
55,sheetingeave,E7,2
56,sheeting,E8,0
57,sheeting,E9,0
58,sheeting,E10,0
59,sheeting,E11,0
60,sheetingeave,E12,1
61,sheetingeave,F1,2
62,sheeting,F2,0
63,sheeting,F3,0
64,sheeting,F4,0
65,sheeting,F5,0
66,sheetingeave,F6,1
67,sheetingeave,F7,2
68,sheeting,F8,0
69,sheeting,F9,0
70,sheeting,F10,0
71,sheeting,F11,0
72,sheetingeave,F12,1
73,sheetingeave,G1,2
74,sheeting,G2,0
75,sheeting,G3,0
76,sheeting,G4,0
77,sheetingeave,G5,0
78,sheetingeave,G6,1
79,sheeting,G7,2
80,sheeting,G8,0
81,sheeting,G9,0
82,sheeting,G10,0
83,sheeting,G11,0
84,sheetingeave,G12,1
85,sheetingeave,H1,2
86,sheeting,H2,0
87,sheeting,H3,0
88,sheeting,H4,0
89,sheeting,H5,0
90,sheetingeave,H6,1
91,sheetingeave,H7,2
92,sheeting,H8,0
93,sheeting,H9,0
94,sheeting,H10,0
95,sheeting,H11,0
96,sheetingeave,H12,1
97,sheetingeave,I1,2
98,sheeting,I2,0
99,sheeting,I3,0
100,sheeting,I4,0
101,sheeting,I5,0
102,sheetingeave,I6,1
103,sheetingeave,I7,2
104,sheeting,I8,0
105,sheeting,I9,0
106,sheeting,I10,0
107,sheeting,I11,0
108,sheetingeave,I12,1
109,sheetingeave,J1,2
110,sheeting,J2,0
111,sheeting,J3,0
112,sheeting,J4,0
113,sheeting,J5,0
114,sheetingeave,J6,1
115,sheetingeave,J7,2
116,sheeting,J8,0
117,sheeting,J9,0
118,sheeting,J10,0
119,sheeting,J11,0
120,sheetingeave,J12,1
121,sheetingeave,K1,2
122,sheeting,K2,0
123,sheeting,K3,0
124,sheeting,K4,0
125,sheeting,K5,0
126,sheetingeave,K6,1
127,sheetingeave,K7,2
128,sheeting,K8,0
129,sheeting,K9,0
130,sheeting,K10,0
131,sheeting,K11,0
132,sheetingeave,K12,1
133,sheetingeave,L1,2
134,sheeting,L2,0
135,sheeting,L3,0
136,sheeting,L4,0
137,sheeting,L5,0
138,sheetingeave,L6,1
139,sheetingeave,L7,2
140,sheeting,L8,0
141,sheeting,L9,0
142,sheeting,L10,0
143,sheeting,L11,0
144,sheetingeave,L12,1
145,sheetingeave,M1,2
146,sheeting,M2,0
147,sheeting,M3,0
148,sheeting,M4,0
149,sheeting,M5,0
150,sheetingeave,M6,1
151,sheetingeave,M7,2
152,sheeting,M8,0
153,sheeting,M9,0
154,sheeting,M10,0
155,sheeting,M11,0
156,sheetingeave,M12,1
157,sheetingeave,N1,2
158,sheeting,N2,0
159,sheeting,N3,0
160,sheeting,N4,0
161,sheeting,N5,0
162,sheetingeave,N6,1
163,sheetingeave,N7,2
164,sheeting,N8,0
165,sheeting,N9,0
166,sheeting,N10,0
167,sheeting,N11,0
168,sheetingeave,N12,1
169,sheetingcorner,O1,2
170,sheetinggable,O2,0
171,sheetinggable,O3,0
172,sheetinggable,O4,0
173,sheetinggable,O5,0
174,sheetingcorner,O6,1
175,sheetingcorner,O7,2
176,sheetinggable,O8,0
177,sheetinggable,O9,0
178,sheetinggable,O10,0
179,sheetinggable,O11,0
180,sheetingcorner,O12,1
181,battencorner,A1,2
182,battenend,A2,2
183,battenend,A3,2
184,battenend,A4,2
185,battenend,A5,2
186,battencorner,A6,2
187,battencorner,A7,2
188,battenend,A8,2
189,battenend,A9,2
190,battenend,A10,2
191,battenend,A11,2
192,battencorner,A12,2
193,batteneave,B1,0
194,batten,B2,0
195,batten,B3,0
196,batten,B4,0
197,batten,B5,0
198,batteneave,B6,0
199,batteneave,B7,0
200,batten,B8,0
201,batten,B9,0
202,batten,B10,0
203,batten,B11,0
204,batteneave,B12,0
205,batteneave,C1,0
206,batten,C2,0
207,batten,C3,0
208,batten,C4,0
209,batten,C5,0
210,batteneave,C6,0
211,batteneave,C7,0
212,batten,C8,0
213,batten,C9,0
214,batten,C10,0
215,batten,C11,0
216,batteneave,C12,0
217,batteneave,D1,0
218,batten,D2,0
219,batten,D3,0
220,batten,D4,0
221,batten,D5,0
222,batteneave,D6,0
223,batteneave,D7,0
224,batten,D8,0
225,batten,D9,0
226,batten,D10,0
227,batten,D11,0
228,batteneave,D12,0
229,batteneave,E1,0
230,batten,E2,0
231,batten,E3,0
232,batten,E4,0
233,batten,E5,0
234,batteneave,E6,0
235,batteneave,E7,0
236,batten,E8,0
237,batten,E9,0
238,batten,E10,0
239,batten,E11,0
240,batteneave,E12,0
241,batteneave,F1,0
242,batten,F2,0
243,batten,F3,0
244,batten,F4,0
245,batten,F5,0
246,batteneave,F6,0
247,batteneave,F7,0
248,batten,F8,0
249,batten,F9,0
250,batten,F10,0
251,batten,F11,0
252,batteneave,F12,0
253,batteneave,G1,0
254,batten,G2,0
255,batten,G3,0
256,batten,G4,0
257,batten,G5,0
258,batteneave,G6,0
259,batteneave,G7,0
260,batten,G8,0
261,batten,G9,0
262,batten,G10,0
263,batten,G11,0
264,batteneave,G12,0
265,batteneave,H1,0
266,batten,H2,0
267,batten,H3,0
268,batten,H4,0
269,batten,H5,0
270,batteneave,H6,0
271,batteneave,H7,0
272,batten,H8,0
273,batten,H9,0
274,batten,H10,0
275,batten,H11,0
276,batteneave,H12,0
277,batteneave,I1,0
278,batten,I2,0
279,batten,I3,0
280,batten,I4,0
281,batten,I5,0
282,batteneave,I6,0
283,batteneave,I7,0
284,batten,I8,0
285,batten,I9,0
286,batten,I10,0
287,batten,I11,0
288,batteneave,I12,0
289,batteneave,J1,0
290,batten,J2,0
291,batten,J3,0
292,batten,J4,0
293,batten,J5,0
294,batteneave,J6,0
295,batteneave,J7,0
296,batten,J8,0
297,batten,J9,0
298,batten,J10,0
299,batten,J11,0
300,batteneave,J12,0
301,batteneave,K1,0
302,batten,K2,0
303,batten,K3,0
304,batten,K4,0
305,batten,K5,0
306,batteneave,K6,0
307,batteneave,K7,0
308,batten,K8,0
309,batten,K9,0
310,batten,K10,0
311,batten,K11,0
312,batteneave,K12,0
313,batteneave,L1,0
314,batten,L2,0
315,batten,L3,0
316,batten,L4,0
317,batten,L5,0
318,batteneave,L6,0
319,batteneave,L7,0
320,batten,L8,0
321,batten,L9,0
322,batten,L10,0
323,batten,L11,0
324,batteneave,L12,0
325,batteneave,M1,0
326,batten,M2,0
327,batten,M3,0
328,batten,M4,0
329,batten,M5,0
330,batteneave,M6,0
331,batteneave,M7,0
332,batten,M8,0
333,batten,M9,0
334,batten,M10,0
335,batten,M11,0
336,batteneave,M12,0
337,batteneave,N1,0
338,batten,N2,0
339,batten,N3,0
340,batten,N4,0
341,batten,N5,0
342,batteneave,N6,0
343,batteneave,N7,0
344,batten,N8,0
345,batten,N9,0
346,batten,N10,0
347,batten,N11,0
348,batteneave,N12,0
349,battencorner,O1,1
350,battenend,O2,1
351,battenend,O3,1
352,battenend,O4,1
353,battenend,O5,1
354,battencorner,O6,1
355,battencorner,O7,1
356,battenend,O8,1
357,battenend,O9,1
358,battenend,O10,1
359,battenend,O11,1
360,battencorner,O12,1
361,endraftertopplate,A2,0
362,endrafterridge,A6,0
363,endraftertopplate,A11,0
364,collarraftertopplate,B2,0
365,collarraftercollar,B4,0
366,collarrafterridge,B6,0
367,collarraftercollar,B9,0
368,collarraftertopplate,B11,0
369,plainraftertopplate,C2,0
370,plainrafterridge,C6,0
371,plainraftertopplate,C11,0
372,collarraftertopplate,D2,0
373,collarraftercollar,D4,0
374,collarrafterridge,D6,0
375,collarraftercollar,D9,0
376,collarraftertopplate,D11,0
377,plainraftertopplate,E2,0
378,plainrafterridge,E6,0
379,plainraftertopplate,E11,0
380,collarraftertopplate,F2,0
381,collarraftercollar,F4,0
382,collarrafterridge,F6,0
383,collarraftercollar,F9,0
384,collarraftertopplate,F11,0
385,plainraftertopplate,G2,0
386,plainrafterridge,G6,0
387,plainraftertopplate,G11,0
388,collarraftertopplate,H2,0
389,collarraftercollar,H4,0
390,collarrafterridge,H6,0
391,collarraftercollar,H9,0
392,collarraftertopplate,H11,0
393,plainraftertopplate,I2,0
394,plainrafterridge,I6,0
395,plainraftertopplate,I11,0
396,collarraftertopplate,J2,0
397,collarraftercollar,J4,0
398,collarrafterridge,J6,0
399,collarraftercollar,J9,0
400,collarraftertopplate,J11,0
401,plainraftertopplate,K2,0
402,plainrafterridge,K6,0
403,plainraftertopplate,K11,0
404,collarraftertopplate,L2,0
405,collarraftercollar,L4,0
406,collarrafterridge,L6,0
407,collarraftercollar,L9,0
408,collarraftertopplate,L11,0
409,plainraftertopplate,M2,0
410,plainrafterridge,M6,0
411,plainraftertopplate,M11,0
412,collarraftertopplate,N2,0
413,collarraftercollar,N4,0
414,collarrafterridge,N6,0
415,collarraftercollar,N9,0
416,collarraftertopplate,N11,0
417,endraftertopplate,O2,0
418,endrafterridge,O6,0
419,endraftertopplate,O11,0
420,wallcladdingend,WSA1,3
421,wallcladdingend,WSA2,3
422,wallcladdinginterior,WSB1,3
423,wallcladdinginterior,WSB2,3
424,wallcladdinginterior,WSC1,3
425,wallcladdinginterior,WSC2,3
426,wallcladdinginterior,WSD1,3
427,wallcladdinginterior,WSD2,3
428,wallcladdinginterior,WSE1,3
429,wallcladdinginterior,WSE2,3
430,wallcladdinginterior,WSF1,3
431,wallcladdinginterior,WSF2,3
432,wallcladdinginterior,WSG1,3
433,wallcladdinginterior,WSG2,3
434,wallcladdinginterior,WSH1,3
435,wallcladdinginterior,WSH2,3
436,wallcladdinginterior,WSI1,3
437,wallcladdinginterior,WSI2,3
438,wallcladdinginterior,WSJ1,3
439,wallcladdinginterior,WSJ2,3
440,wallcladdinginterior,WSK1,3
441,wallcladdinginterior,WSK2,3
442,wallcladdinginterior,WSL1,3
443,wallcladdinginterior,WSL2,3
444,wallcladdinginterior,WSM1,3
445,wallcladdinginterior,WSM2,3
446,wallcladdinginterior,WSN1,3
447,wallcladdinginterior,WSN2,3
448,wallcladdingend,WSO1,3
449,wallcladdingend,WSO2,3
450,wallcladdingend,WNA1,3
451,wallcladdingend,WNA2,3
452,wallcladdinginterior,WNB1,3
453,wallcladdinginterior,WNB2,3
454,wallcladdinginterior,WNC1,3
455,wallcladdinginterior,WNC2,3
456,wallcladdinginterior,WND1,3
457,wallcladdinginterior,WND2,3
458,wallcladdinginterior,WNE1,3
459,wallcladdinginterior,WNE2,3
460,wallcladdinginterior,WNF1,3
461,wallcladdinginterior,WNF2,3
462,wallcladdinginterior,WNG1,3
463,wallcladdinginterior,WNG2,3
464,wallcladdinginterior,WNH1,3
465,wallcladdinginterior,WNH2,3
466,wallcladdinginterior,WNI1,3
467,wallcladdinginterior,WNI2,3
468,wallcladdinginterior,WNJ1,3
469,wallcladdinginterior,WNJ2,3
470,wallcladdinginterior,WNK1,3
471,wallcladdinginterior,WNK2,3
472,wallcladdinginterior,WNL1,3
473,wallcladdinginterior,WNL2,3
474,wallcladdinginterior,WNM1,3
475,wallcladdinginterior,WNM2,3
476,wallcladdinginterior,WNN1,3
477,wallcladdinginterior,WNN2,3
478,wallcladdingend,WNO1,3
479,wallcladdingend,WNO2,3
480,wallcladdinggableend,WW21,3
481,wallcladdinggableend,WW22,3
482,wallcladdinggableint,WW31,3
483,wallcladdinggableint,WW32,3
484,wallcladdinggableint,WW41,3
485,wallcladdinggableint,WW42,3
486,wallcladdinggableint,WW51,3
487,wallcladdinggableint,WW52,3
488,wallcladdinggableint,WW61,3
489,wallcladdinggableint,WW62,3
490,wallcladdinggableint,WW71,3
491,wallcladdinggableint,WW72,3
492,wallcladdinggableint,WW81,3
493,wallcladdinggableint,WW82,3
494,wallcladdinggableend,WW91,3
495,wallcladdinggableend,WW92,3
496,wallcladdinggableend,WE21,3
497,wallcladdinggableend,WE22,3
498,wallcladdinggableint,WE31,3
499,wallcladdinggableint,WE32,3
500,wallcladdinggableint,WE41,3
501,wallcladdinggableint,WE42,3
502,wallcladdinggableint,WE51,3
503,wallcladdinggableint,WE52,3
504,wallcladdinggableint,WE61,3
505,wallcladdinggableint,WE62,3
506,wallcladdinggableint,WE71,3
507,wallcladdinggableint,WE72,3
508,wallcladdinggableint,WE81,3
509,wallcladdinggableint,WE82,3
510,wallcladdinggableend,WE91,3
511,wallcladdinggableend,WE92,3
512,wallcladdinggabletop,WE63,3
514,wallcladdinggabletop,WW63,3
515,wallracklongend,A2,0
516,wallracklonginterior,B2,0
517,wallracklonginterior,C2,0
518,wallracklonginterior,D2,0
519,wallracklonginterior,E2,0
520,wallracklonginterior,F2,0
521,wallracklonginterior,G2,0
522,wallracklonginterior,H2,0
523,wallracklonginterior,I2,0
524,wallracklonginterior,J2,0
525,wallracklonginterior,K2,0
526,wallracklonginterior,L2,0
527,wallracklonginterior,M2,0
528,wallracklonginterior,N2,0
529,wallracklongend,O2,0
530,wallracklongend,A11,0
531,wallracklonginterior,B11,0
532,wallracklonginterior,C11,0
533,wallracklonginterior,D11,0
534,wallracklonginterior,E11,0
535,wallracklonginterior,F11,0
536,wallracklonginterior,G11,0
537,wallracklonginterior,H11,0
538,wallracklonginterior,I11,0
539,wallracklonginterior,J11,0
540,wallracklonginterior,K11,0
541,wallracklonginterior,L11,0
542,wallracklonginterior,M11,0
543,wallracklonginterior,N11,0
544,wallracklongend,O11,0
545,wallrackgableend,A2,0
546,wallrackgableinterior,A3,0
547,wallrackgableinterior,A4,0
548,wallrackgableinterior,A5,0
549,wallrackgableinterior,A8,0
550,wallrackgableinterior,A9,0
551,wallrackgableinterior,A10,0
552,wallrackgableend,A11,0
553,wallrackgableend,O2,0
