conn_name,type_name,zone_loc,edge
554,wallrackgableinterior,O3,0
555,wallrackgableinterior,O4,0
556,wallrackgableinterior,O5,0
557,wallrackgableinterior,O8,0
558,wallrackgableinterior,O9,0
559,wallrackgableinterior,O10,0
560,wallrackgableend,O11,0
561,wallracklongendclad,A2,0
562,wallracklongintclad,B2,0
563,wallracklongintclad,C2,0
564,wallracklongintclad,D2,0
565,wallracklongintclad,E2,0
566,wallracklongintclad,F2,0
567,wallracklongintclad,G2,0
568,wallracklongintclad,H2,0
569,wallracklongintclad,I2,0
570,wallracklongintclad,J2,0
571,wallracklongintclad,K2,0
572,wallracklongintclad,L2,0
573,wallracklongintclad,M2,0
574,wallracklongintclad,N2,0
575,wallracklongendclad,O2,0
576,wallracklongendclad,A11,0
577,wallracklongintclad,B11,0
578,wallracklongintclad,C11,0
579,wallracklongintclad,D11,0
580,wallracklongintclad,E11,0
581,wallracklongintclad,F11,0
582,wallracklongintclad,G11,0
583,wallracklongintclad,H11,0
584,wallracklongintclad,I11,0
585,wallracklongintclad,J11,0
586,wallracklongintclad,K11,0
587,wallracklongintclad,L11,0
588,wallracklongintclad,M11,0
589,wallracklongintclad,N11,0
590,wallracklongendclad,O11,0
591,wallrackgableendclad,A2,0
592,wallrackgableintclad,A3,0
593,wallrackgableintclad,A4,0
594,wallrackgableintclad,A5,0
595,wallrackgableintclad,A8,0
596,wallrackgableintclad,A9,0
597,wallrackgableintclad,A10,0
598,wallrackgableendclad,A11,0
599,wallrackgableendclad,O2,0
600,wallrackgableintclad,O3,0
601,wallrackgableintclad,O4,0
602,wallrackgableintclad,O5,0
603,wallrackgableintclad,O8,0
604,wallrackgableintclad,O9,0
605,wallrackgableintclad,O10,0
606,wallrackgableendclad,O11,0
607,longwall1,WSC2,0
608,longwall1,WSF2,0
609,longwall1,WSI2,0
610,longwall2,WSM2,0
611,longwall3,WNB2,0
612,longwall4,WNF2,0
613,longwall5,WNI2,0
614,longwall6,WNJ2,0
615,longwall2,WNM2,0
616,gablewall1,WW42,0
617,gablewall1,WW72,0
618,gablewall2,WE42,0
619,gablewall3,WE62,0
620,gablewall4,WE72,0
621,piers,A6,0
622,piers,H6,0
