name,description,wall_name,area,coverage_type,repair_type
1,window,1,3.6,Glass_annealed_6mm,full
2,door,1,1.8,Timber_door,full
3,window,1,1.89,Glass_annealed_6mm,full
4,window,1,1.89,Glass_annealed_6mm,full
5,window,3,1.89,Glass_annealed_6mm,full
6,window,3,1.89,Glass_annealed_6mm,full
7,window,5,1.89,Glass_annealed_6mm,full
8,door,5,1.8,Timber_door,full
9,window,5,0.54,Glass_annealed_6mm,full
10,window,5,0.27,Glass_annealed_6mm,full
11,window,5,1.89,Glass_annealed_6mm,full
12,weatherboard,1,22.02,Weatherboard,partial
13,sheet,3,18.22,Cement_sheeting,partial
14,sheet,5,24.81,Cement_sheeting,partial
15,sheet,7,22,Cement_sheeting,partial
