name,S,SW,W,NW,N,NE,E,SE
A1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
A2,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
A3,0,0,0,0,0,0,0,0
A4,0,0,0,0,0,0,0,0
A5,0,0,0,0,0,0,0,0
A6,0,0,0,0,0,0,0,0
A7,0,0,0,0,0,0,0,0
A8,0,0,0,0,0,0,0,0
A9,0,0,0,0,0,0,0,0
A10,0,0,0,0,0,0,0,0
A11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
A12,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
A13,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
A14,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
B1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
B2,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
B3,0,0,0,0,0,0,0,0
B4,0,0,0,0,0,0,0,0
B5,0,0,0,0,0,0,0,0
B6,0,0,0,0,0,0,0,0
B7,0,0,0,0,0,0,0,0
B8,0,0,0,0,0,0,0,0
B9,0,0,0,0,0,0,0,0
B10,0,0,0,0,0,0,0,0
B11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
B12,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
B13,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
B14,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
C1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
C2,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
C3,0,0,0,0,0,0,0,0
C4,0,0,0,0,0,0,0,0
C5,0,0,0,0,0,0,0,0
C6,0,0,0,0,0,0,0,0
C7,0,0,0,0,0,0,0,0
C8,0,0,0,0,0,0,0,0
C9,0,0,0,0,0,0,0,0
C10,0,0,0,0,0,0,0,0
C11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
C12,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
C13,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
C14,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
D1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
D2,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
D3,0,0,0,0,0,0,0,0
D4,0,0,0,0,0,0,0,0
D5,0,0,0,0,0,0,0,0
D6,0,0,0,0,0,0,0,0
D7,0,0,0,0,0,0,0,0
D8,0,0,0,0,0,0,0,0
D9,0,0,0,0,0,0,0,0
D10,0,0,0,0,0,0,0,0
D11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
D12,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
D13,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D14,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
E1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
E2,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
E3,0,0,0,0,0,0,0,0
E4,0,0,0,0,0,0,0,0
E5,0,0,0,0,0,0,0,0
E6,0,0,0,0,0,0,0,0
E7,0,0,0,0,0,0,0,0
E8,0,0,0,0,0,0,0,0
E9,0,0,0,0,0,0,0,0
E10,0,0,0,0,0,0,0,0
E11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
E12,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
E13,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
E14,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
