conn_name,type_name,zone-loc,section,coords,,,,,,,
74,sheeting,G2,1,4.95,0.45,5.85,0.45,5.85,1.35,4.95,1.35
75,sheeting,G3,1,4.95,1.35,5.85,1.35,5.85,2.25,4.95,2.25
76,sheeting,G4,1,4.95,2.25,5.85,2.25,5.85,3.15,4.95,3.15
77,sheetingeave,G5,1,4.95,3.15,5.85,3.15,5.85,4.05,4.95,4.05
78,sheetingeave,G6,1,4.95,4.05,5.85,4.05,5.85,4.5,4.95,4.5
79,sheeting,G7,2,4.95,4.5,5.85,4.5,5.85,4.95,4.95,4.95
80,sheeting,G8,2,4.95,4.95,5.85,4.95,5.85,5.85,4.95,5.85
81,sheeting,G9,2,4.95,5.85,5.85,5.85,5.85,6.75,4.95,6.75
82,sheeting,G10,2,4.95,6.75,5.85,6.75,5.85,7.65,4.95,7.65
83,sheeting,G11,2,4.95,7.65,5.85,7.65,5.85,8.55,4.95,8.55
84,sheetingeave,G12,2,4.95,8.55,5.85,8.55,5.85,9,4.95,9
85,sheetingeave,H1,1,5.85,0,6.75,0,6.75,0.45,5.85,0.45
86,sheeting,H2,1,5.85,0.45,6.75,0.45,6.75,1.35,5.85,1.35
87,sheeting,H3,1,5.85,1.35,6.75,1.35,6.75,2.25,5.85,2.25
88,sheeting,H4,1,5.85,2.25,6.75,2.25,6.75,3.15,5.85,3.15
89,sheeting,H5,1,5.85,3.15,6.75,3.15,6.75,4.05,5.85,4.05
90,sheetingeave,H6,1,5.85,4.05,6.75,4.05,6.75,4.5,5.85,4.5
91,sheetingeave,H7,2,5.85,4.5,6.75,4.5,6.75,4.95,5.85,4.95
92,sheeting,H8,2,5.85,4.95,6.75,4.95,6.75,5.85,5.85,5.85
93,sheeting,H9,2,5.85,5.85,6.75,5.85,6.75,6.75,5.85,6.75
94,sheeting,H10,2,5.85,6.75,6.75,6.75,6.75,7.65,5.85,7.65
95,sheeting,H11,2,5.85,7.65,6.75,7.65,6.75,8.55,5.85,8.55
96,sheetingeave,H12,2,5.85,8.55,6.75,8.55,6.75,9,5.85,9
97,sheetingeave,I1,1,6.75,0,7.65,0,7.65,0.45,6.75,0.45
98,sheeting,I2,1,6.75,0.45,7.65,0.45,7.65,1.35,6.75,1.35
99,sheeting,I3,1,6.75,1.35,7.65,1.35,7.65,2.25,6.75,2.25
100,sheeting,I4,1,6.75,2.25,7.65,2.25,7.65,3.15,6.75,3.15
101,sheeting,I5,1,6.75,3.15,7.65,3.15,7.65,4.05,6.75,4.05
102,sheetingeave,I6,1,6.75,4.05,7.65,4.05,7.65,4.5,6.75,4.5
103,sheetingeave,I7,2,6.75,4.5,7.65,4.5,7.65,4.95,6.75,4.95
104,sheeting,I8,2,6.75,4.95,7.65,4.95,7.65,5.85,6.75,5.85
105,sheeting,I9,2,6.75,5.85,7.65,5.85,7.65,6.75,6.75,6.75
106,sheeting,I10,2,6.75,6.75,7.65,6.75,7.65,7.65,6.75,7.65
107,sheeting,I11,2,6.75,7.65,7.65,7.65,7.65,8.55,6.75,8.55
108,sheetingeave,I12,2,6.75,8.55,7.65,8.55,7.65,9,6.75,9
109,sheetingeave,J1,1,7.65,0,8.55,0,8.55,0.45,7.65,0.45
110,sheeting,J2,1,7.65,0.45,8.55,0.45,8.55,1.35,7.65,1.35
111,sheeting,J3,1,7.65,1.35,8.55,1.35,8.55,2.25,7.65,2.25
112,sheeting,J4,1,7.65,2.25,8.55,2.25,8.55,3.15,7.65,3.15
113,sheeting,J5,1,7.65,3.15,8.55,3.15,8.55,4.05,7.65,4.05
114,sheetingeave,J6,1,7.65,4.05,8.55,4.05,8.55,4.5,7.65,4.5
115,sheetingeave,J7,2,7.65,4.5,8.55,4.5,8.55,4.95,7.65,4.95
116,sheeting,J8,2,7.65,4.95,8.55,4.95,8.55,5.85,7.65,5.85
117,sheeting,J9,2,7.65,5.85,8.55,5.85,8.55,6.75,7.65,6.75
118,sheeting,J10,2,7.65,6.75,8.55,6.75,8.55,7.65,7.65,7.65
119,sheeting,J11,2,7.65,7.65,8.55,7.65,8.55,8.55,7.65,8.55
120,sheetingeave,J12,2,7.65,8.55,8.55,8.55,8.55,9,7.65,9
121,sheetingeave,K1,1,8.55,0,9.45,0,9.45,0.45,8.55,0.45
122,sheeting,K2,1,8.55,0.45,9.45,0.45,9.45,1.35,8.55,1.35
123,sheeting,K3,1,8.55,1.35,9.45,1.35,9.45,2.25,8.55,2.25
124,sheeting,K4,1,8.55,2.25,9.45,2.25,9.45,3.15,8.55,3.15
125,sheeting,K5,1,8.55,3.15,9.45,3.15,9.45,4.05,8.55,4.05
126,sheetingeave,K6,1,8.55,4.05,9.45,4.05,9.45,4.5,8.55,4.5
127,sheetingeave,K7,2,8.55,4.5,9.45,4.5,9.45,4.95,8.55,4.95
128,sheeting,K8,2,8.55,4.95,9.45,4.95,9.45,5.85,8.55,5.85
129,sheeting,K9,2,8.55,5.85,9.45,5.85,9.45,6.75,8.55,6.75
130,sheeting,K10,2,8.55,6.75,9.45,6.75,9.45,7.65,8.55,7.65
131,sheeting,K11,2,8.55,7.65,9.45,7.65,9.45,8.55,8.55,8.55
132,sheetingeave,K12,2,8.55,8.55,9.45,8.55,9.45,9,8.55,9
133,sheetingeave,L1,1,9.45,0,10.35,0,10.35,0.45,9.45,0.45
134,sheeting,L2,1,9.45,0.45,10.35,0.45,10.35,1.35,9.45,1.35
135,sheeting,L3,1,9.45,1.35,10.35,1.35,10.35,2.25,9.45,2.25
136,sheeting,L4,1,9.45,2.25,10.35,2.25,10.35,3.15,9.45,3.15
137,sheeting,L5,1,9.45,3.15,10.35,3.15,10.35,4.05,9.45,4.05
138,sheetingeave,L6,1,9.45,4.05,10.35,4.05,10.35,4.5,9.45,4.5
139,sheetingeave,L7,2,9.45,4.5,10.35,4.5,10.35,4.95,9.45,4.95
140,sheeting,L8,2,9.45,4.95,10.35,4.95,10.35,5.85,9.45,5.85
141,sheeting,L9,2,9.45,5.85,10.35,5.85,10.35,6.75,9.45,6.75
142,sheeting,L10,2,9.45,6.75,10.35,6.75,10.35,7.65,9.45,7.65
143,sheeting,L11,2,9.45,7.65,10.35,7.65,10.35,8.55,9.45,8.55
144,sheetingeave,L12,2,9.45,8.55,10.35,8.55,10.35,9,9.45,9
145,sheetingeave,M1,1,10.35,0,11.25,0,11.25,0.45,10.35,0.45
146,sheeting,M2,1,10.35,0.45,11.25,0.45,11.25,1.35,10.35,1.35
147,sheeting,M3,1,10.35,1.35,11.25,1.35,11.25,2.25,10.35,2.25
148,sheeting,M4,1,10.35,2.25,11.25,2.25,11.25,3.15,10.35,3.15
149,sheeting,M5,1,10.35,3.15,11.25,3.15,11.25,4.05,10.35,4.05
150,sheetingeave,M6,1,10.35,4.05,11.25,4.05,11.25,4.5,10.35,4.5
151,sheetingeave,M7,2,10.35,4.5,11.25,4.5,11.25,4.95,10.35,4.95
152,sheeting,M8,2,10.35,4.95,11.25,4.95,11.25,5.85,10.35,5.85
153,sheeting,M9,2,10.35,5.85,11.25,5.85,11.25,6.75,10.35,6.75
154,sheeting,M10,2,10.35,6.75,11.25,6.75,11.25,7.65,10.35,7.65
155,sheeting,M11,2,10.35,7.65,11.25,7.65,11.25,8.55,10.35,8.55
156,sheetingeave,M12,2,10.35,8.55,11.25,8.55,11.25,9,10.35,9
157,sheetingeave,N1,1,11.25,0,12.15,0,12.15,0.45,11.25,0.45
158,sheeting,N2,1,11.25,0.45,12.15,0.45,12.15,1.35,11.25,1.35
159,sheeting,N3,1,11.25,1.35,12.15,1.35,12.15,2.25,11.25,2.25
160,sheeting,N4,1,11.25,2.25,12.15,2.25,12.15,3.15,11.25,3.15
161,sheeting,N5,1,11.25,3.15,12.15,3.15,12.15,4.05,11.25,4.05
162,sheetingeave,N6,1,11.25,4.05,12.15,4.05,12.15,4.5,11.25,4.5
163,sheetingeave,N7,2,11.25,4.5,12.15,4.5,12.15,4.95,11.25,4.95
164,sheeting,N8,2,11.25,4.95,12.15,4.95,12.15,5.85,11.25,5.85
165,sheeting,N9,2,11.25,5.85,12.15,5.85,12.15,6.75,11.25,6.75
166,sheeting,N10,2,11.25,6.75,12.15,6.75,12.15,7.65,11.25,7.65
167,sheeting,N11,2,11.25,7.65,12.15,7.65,12.15,8.55,11.25,8.55
168,sheetingeave,N12,2,11.25,8.55,12.15,8.55,12.15,9,11.25,9
169,sheetingcorner,O1,1,12.15,0,12.6,0,12.6,0.45,12.15,0.45
170,sheetinggable,O2,1,12.15,0.45,12.6,0.45,12.6,1.35,12.15,1.35
171,sheetinggable,O3,1,12.15,1.35,12.6,1.35,12.6,2.25,12.15,2.25
172,sheetinggable,O4,1,12.15,2.25,12.6,2.25,12.6,3.15,12.15,3.15
173,sheetinggable,O5,1,12.15,3.15,12.6,3.15,12.6,4.05,12.15,4.05
174,sheetingcorner,O6,1,12.15,4.05,12.6,4.05,12.6,4.5,12.15,4.5
175,sheetingcorner,O7,2,12.15,4.5,12.6,4.5,12.6,4.95,12.15,4.95
176,sheetinggable,O8,2,12.15,4.95,12.6,4.95,12.6,5.85,12.15,5.85
177,sheetinggable,O9,2,12.15,5.85,12.6,5.85,12.6,6.75,12.15,6.75
178,sheetinggable,O10,2,12.15,6.75,12.6,6.75,12.6,7.65,12.15,7.65
179,sheetinggable,O11,2,12.15,7.65,12.6,7.65,12.6,8.55,12.15,8.55
180,sheetingcorner,O12,2,12.15,8.55,12.6,8.55,12.6,9,12.15,9
181,battencorner,A1,1,0,0,0.45,0,0.45,0.45,0,0.45
182,battenend,A2,1,0,0.45,0.45,0.45,0.45,1.35,0,1.35
183,battenend,A3,1,0,1.35,0.45,1.35,0.45,2.25,0,2.25
184,battenend,A4,1,0,2.25,0.45,2.25,0.45,3.15,0,3.15
185,battenend,A5,1,0,3.15,0.45,3.15,0.45,4.05,0,4.05
186,battencorner,A6,1,0,4.05,0.45,4.05,0.45,4.5,0,4.5
187,battencorner,A7,2,0,4.5,0.45,4.5,0.45,4.95,0,4.95
188,battenend,A8,2,0,4.95,0.45,4.95,0.45,5.85,0,5.85
189,battenend,A9,2,0,5.85,0.45,5.85,0.45,6.75,0,6.75
190,battenend,A10,2,0,6.75,0.45,6.75,0.45,7.65,0,7.65
191,battenend,A11,2,0,7.65,0.45,7.65,0.45,8.55,0,8.55
192,battencorner,A12,2,0,8.55,0.45,8.55,0.45,9,0,9
193,batteneave,B1,1,0.45,0,1.35,0,1.35,0.45,0.45,0.45
194,batten,B2,1,0.45,0.45,1.35,0.45,1.35,1.35,0.45,1.35
195,batten,B3,1,0.45,1.35,1.35,1.35,1.35,2.25,0.45,2.25
196,batten,B4,1,0.45,2.25,1.35,2.25,1.35,3.15,0.45,3.15
197,batten,B5,1,0.45,3.15,1.35,3.15,1.35,4.05,0.45,4.05
198,batteneave,B6,1,0.45,4.05,1.35,4.05,1.35,4.5,0.45,4.5
199,batteneave,B7,2,0.45,4.5,1.35,4.5,1.35,4.95,0.45,4.95
200,batten,B8,2,0.45,4.95,1.35,4.95,1.35,5.85,0.45,5.85
201,batten,B9,2,0.45,5.85,1.35,5.85,1.35,6.75,0.45,6.75
202,batten,B10,2,0.45,6.75,1.35,6.75,1.35,7.65,0.45,7.65
203,batten,B11,2,0.45,7.65,1.35,7.65,1.35,8.55,0.45,8.55
204,batteneave,B12,2,0.45,8.55,1.35,8.55,1.35,9,0.45,9
205,batteneave,C1,1,1.35,0,2.25,0,2.25,0.45,1.35,0.45
206,batten,C2,1,1.35,0.45,2.25,0.45,2.25,1.35,1.35,1.35
207,batten,C3,1,1.35,1.35,2.25,1.35,2.25,2.25,1.35,2.25
208,batten,C4,1,1.35,2.25,2.25,2.25,2.25,3.15,1.35,3.15
209,batten,C5,1,1.35,3.15,2.25,3.15,2.25,4.05,1.35,4.05
210,batteneave,C6,1,1.35,4.05,2.25,4.05,2.25,4.5,1.35,4.5
211,batteneave,C7,2,1.35,4.5,2.25,4.5,2.25,4.95,1.35,4.95
212,batten,C8,2,1.35,4.95,2.25,4.95,2.25,5.85,1.35,5.85
213,batten,C9,2,1.35,5.85,2.25,5.85,2.25,6.75,1.35,6.75
214,batten,C10,2,1.35,6.75,2.25,6.75,2.25,7.65,1.35,7.65
215,batten,C11,2,1.35,7.65,2.25,7.65,2.25,8.55,1.35,8.55
216,batteneave,C12,2,1.35,8.55,2.25,8.55,2.25,9,1.35,9
217,batteneave,D1,1,2.25,0,3.15,0,3.15,0.45,2.25,0.45
218,batten,D2,1,2.25,0.45,3.15,0.45,3.15,1.35,2.25,1.35
219,batten,D3,1,2.25,1.35,3.15,1.35,3.15,2.25,2.25,2.25
220,batten,D4,1,2.25,2.25,3.15,2.25,3.15,3.15,2.25,3.15
221,batten,D5,1,2.25,3.15,3.15,3.15,3.15,4.05,2.25,4.05
222,batteneave,D6,1,2.25,4.05,3.15,4.05,3.15,4.5,2.25,4.5
223,batteneave,D7,2,2.25,4.5,3.15,4.5,3.15,4.95,2.25,4.95
224,batten,D8,2,2.25,4.95,3.15,4.95,3.15,5.85,2.25,5.85
225,batten,D9,2,2.25,5.85,3.15,5.85,3.15,6.75,2.25,6.75
226,batten,D10,2,2.25,6.75,3.15,6.75,3.15,7.65,2.25,7.65
227,batten,D11,2,2.25,7.65,3.15,7.65,3.15,8.55,2.25,8.55
228,batteneave,D12,2,2.25,8.55,3.15,8.55,3.15,9,2.25,9
229,batteneave,E1,1,3.15,0,4.05,0,4.05,0.45,3.15,0.45
230,batten,E2,1,3.15,0.45,4.05,0.45,4.05,1.35,3.15,1.35
231,batten,E3,1,3.15,1.35,4.05,1.35,4.05,2.25,3.15,2.25
232,batten,E4,1,3.15,2.25,4.05,2.25,4.05,3.15,3.15,3.15
233,batten,E5,1,3.15,3.15,4.05,3.15,4.05,4.05,3.15,4.05
234,batteneave,E6,1,3.15,4.05,4.05,4.05,4.05,4.5,3.15,4.5
235,batteneave,E7,2,3.15,4.5,4.05,4.5,4.05,4.95,3.15,4.95
236,batten,E8,2,3.15,4.95,4.05,4.95,4.05,5.85,3.15,5.85
237,batten,E9,2,3.15,5.85,4.05,5.85,4.05,6.75,3.15,6.75
238,batten,E10,2,3.15,6.75,4.05,6.75,4.05,7.65,3.15,7.65
239,batten,E11,2,3.15,7.65,4.05,7.65,4.05,8.55,3.15,8.55
240,batteneave,E12,2,3.15,8.55,4.05,8.55,4.05,9,3.15,9
241,batteneave,F1,1,4.05,0,4.95,0,4.95,0.45,4.05,0.45
242,batten,F2,1,4.05,0.45,4.95,0.45,4.95,1.35,4.05,1.35
243,batten,F3,1,4.05,1.35,4.95,1.35,4.95,2.25,4.05,2.25
244,batten,F4,1,4.05,2.25,4.95,2.25,4.95,3.15,4.05,3.15
245,batten,F5,1,4.05,3.15,4.95,3.15,4.95,4.05,4.05,4.05
246,batteneave,F6,1,4.05,4.05,4.95,4.05,4.95,4.5,4.05,4.5
247,batteneave,F7,2,4.05,4.5,4.95,4.5,4.95,4.95,4.05,4.95
248,batten,F8,2,4.05,4.95,4.95,4.95,4.95,5.85,4.05,5.85
249,batten,F9,2,4.05,5.85,4.95,5.85,4.95,6.75,4.05,6.75
250,batten,F10,2,4.05,6.75,4.95,6.75,4.95,7.65,4.05,7.65
251,batten,F11,2,4.05,7.65,4.95,7.65,4.95,8.55,4.05,8.55
252,batteneave,F12,2,4.05,8.55,4.95,8.55,4.95,9,4.05,9
253,batteneave,G1,1,4.95,0,5.85,0,5.85,0.45,4.95,0.45
254,batten,G2,1,4.95,0.45,5.85,0.45,5.85,1.35,4.95,1.35
255,batten,G3,1,4.95,1.35,5.85,1.35,5.85,2.25,4.95,2.25
256,batten,G4,1,4.95,2.25,5.85,2.25,5.85,3.15,4.95,3.15
257,batten,G5,1,4.95,3.15,5.85,3.15,5.85,4.05,4.95,4.05
258,batteneave,G6,1,4.95,4.05,5.85,4.05,5.85,4.5,4.95,4.5
259,batteneave,G7,2,4.95,4.5,5.85,4.5,5.85,4.95,4.95,4.95
260,batten,G8,2,4.95,4.95,5.85,4.95,5.85,5.85,4.95,5.85
261,batten,G9,2,4.95,5.85,5.85,5.85,5.85,6.75,4.95,6.75
262,batten,G10,2,4.95,6.75,5.85,6.75,5.85,7.65,4.95,7.65
263,batten,G11,2,4.95,7.65,5.85,7.65,5.85,8.55,4.95,8.55
264,batteneave,G12,2,4.95,8.55,5.85,8.55,5.85,9,4.95,9
265,batteneave,H1,1,5.85,0,6.75,0,6.75,0.45,5.85,0.45
266,batten,H2,1,5.85,0.45,6.75,0.45,6.75,1.35,5.85,1.35
267,batten,H3,1,5.85,1.35,6.75,1.35,6.75,2.25,5.85,2.25
268,batten,H4,1,5.85,2.25,6.75,2.25,6.75,3.15,5.85,3.15
269,batten,H5,1,5.85,3.15,6.75,3.15,6.75,4.05,5.85,4.05
270,batteneave,H6,1,5.85,4.05,6.75,4.05,6.75,4.5,5.85,4.5
271,batteneave,H7,2,5.85,4.5,6.75,4.5,6.75,4.95,5.85,4.95
272,batten,H8,2,5.85,4.95,6.75,4.95,6.75,5.85,5.85,5.85
273,batten,H9,2,5.85,5.85,6.75,5.85,6.75,6.75,5.85,6.75
274,batten,H10,2,5.85,6.75,6.75,6.75,6.75,7.65,5.85,7.65
275,batten,H11,2,5.85,7.65,6.75,7.65,6.75,8.55,5.85,8.55
276,batteneave,H12,2,5.85,8.55,6.75,8.55,6.75,9,5.85,9
277,batteneave,I1,1,6.75,0,7.65,0,7.65,0.45,6.75,0.45
278,batten,I2,1,6.75,0.45,7.65,0.45,7.65,1.35,6.75,1.35
279,batten,I3,1,6.75,1.35,7.65,1.35,7.65,2.25,6.75,2.25
280,batten,I4,1,6.75,2.25,7.65,2.25,7.65,3.15,6.75,3.15
281,batten,I5,1,6.75,3.15,7.65,3.15,7.65,4.05,6.75,4.05
282,batteneave,I6,1,6.75,4.05,7.65,4.05,7.65,4.5,6.75,4.5
283,batteneave,I7,2,6.75,4.5,7.65,4.5,7.65,4.95,6.75,4.95
284,batten,I8,2,6.75,4.95,7.65,4.95,7.65,5.85,6.75,5.85
285,batten,I9,2,6.75,5.85,7.65,5.85,7.65,6.75,6.75,6.75
286,batten,I10,2,6.75,6.75,7.65,6.75,7.65,7.65,6.75,7.65
287,batten,I11,2,6.75,7.65,7.65,7.65,7.65,8.55,6.75,8.55
288,batteneave,I12,2,6.75,8.55,7.65,8.55,7.65,9,6.75,9
289,batteneave,J1,1,7.65,0,8.55,0,8.55,0.45,7.65,0.45
290,batten,J2,1,7.65,0.45,8.55,0.45,8.55,1.35,7.65,1.35
291,batten,J3,1,7.65,1.35,8.55,1.35,8.55,2.25,7.65,2.25
292,batten,J4,1,7.65,2.25,8.55,2.25,8.55,3.15,7.65,3.15
293,batten,J5,1,7.65,3.15,8.55,3.15,8.55,4.05,7.65,4.05
294,batteneave,J6,1,7.65,4.05,8.55,4.05,8.55,4.5,7.65,4.5
295,batteneave,J7,2,7.65,4.5,8.55,4.5,8.55,4.95,7.65,4.95
296,batten,J8,2,7.65,4.95,8.55,4.95,8.55,5.85,7.65,5.85
297,batten,J9,2,7.65,5.85,8.55,5.85,8.55,6.75,7.65,6.75
298,batten,J10,2,7.65,6.75,8.55,6.75,8.55,7.65,7.65,7.65
299,batten,J11,2,7.65,7.65,8.55,7.65,8.55,8.55,7.65,8.55
300,batteneave,J12,2,7.65,8.55,8.55,8.55,8.55,9,7.65,9
301,batteneave,K1,1,8.55,0,9.45,0,9.45,0.45,8.55,0.45
302,batten,K2,1,8.55,0.45,9.45,0.45,9.45,1.35,8.55,1.35
303,batten,K3,1,8.55,1.35,9.45,1.35,9.45,2.25,8.55,2.25
304,batten,K4,1,8.55,2.25,9.45,2.25,9.45,3.15,8.55,3.15
305,batten,K5,1,8.55,3.15,9.45,3.15,9.45,4.05,8.55,4.05
306,batteneave,K6,1,8.55,4.05,9.45,4.05,9.45,4.5,8.55,4.5
307,batteneave,K7,2,8.55,4.5,9.45,4.5,9.45,4.95,8.55,4.95
308,batten,K8,2,8.55,4.95,9.45,4.95,9.45,5.85,8.55,5.85
309,batten,K9,2,8.55,5.85,9.45,5.85,9.45,6.75,8.55,6.75
310,batten,K10,2,8.55,6.75,9.45,6.75,9.45,7.65,8.55,7.65
311,batten,K11,2,8.55,7.65,9.45,7.65,9.45,8.55,8.55,8.55
312,batteneave,K12,2,8.55,8.55,9.45,8.55,9.45,9,8.55,9
313,batteneave,L1,1,9.45,0,10.35,0,10.35,0.45,9.45,0.45
314,batten,L2,1,9.45,0.45,10.35,0.45,10.35,1.35,9.45,1.35
315,batten,L3,1,9.45,1.35,10.35,1.35,10.35,2.25,9.45,2.25
316,batten,L4,1,9.45,2.25,10.35,2.25,10.35,3.15,9.45,3.15
317,batten,L5,1,9.45,3.15,10.35,3.15,10.35,4.05,9.45,4.05
318,batteneave,L6,1,9.45,4.05,10.35,4.05,10.35,4.5,9.45,4.5
319,batteneave,L7,2,9.45,4.5,10.35,4.5,10.35,4.95,9.45,4.95
320,batten,L8,2,9.45,4.95,10.35,4.95,10.35,5.85,9.45,5.85
321,batten,L9,2,9.45,5.85,10.35,5.85,10.35,6.75,9.45,6.75
322,batten,L10,2,9.45,6.75,10.35,6.75,10.35,7.65,9.45,7.65
323,batten,L11,2,9.45,7.65,10.35,7.65,10.35,8.55,9.45,8.55
324,batteneave,L12,2,9.45,8.55,10.35,8.55,10.35,9,9.45,9
