name,description,wall_name,area,coverage_type,repair_type
1,window,1,3.6,Glass_annealed_6mm_balcony_door,full
2,door,1,1.8,Timber_door,full
3,window,1,1.89,Glass_annealed_6mm_standard_window,full
4,window,1,1.89,Glass_annealed_6mm_standard_window,full
5,window,2,1.89,Glass_annealed_6mm_standard_window,full
6,window,2,1.89,Glass_annealed_6mm_standard_window,full
7,window,3,1.89,Glass_annealed_6mm_standard_window,full
8,door,3,1.8,Timber_door,full
9,window,3,0.54,Glass_annealed_6mm_bathroom_window,full
10,window,3,0.27,Glass_annealed_6mm_toilet_window,full
11,window,3,1.89,Glass_annealed_6mm_standard_window,full
12,weatherboard,1,44.28,Weatherboard,partial
13,sheet,2,33.58,Cement_sheeting,partial
14,sheet,3,47.07,Cement_sheeting,partial
15,sheet,4,37.36,Cement_sheeting,partial
