name,S,SW,W,NW,N,NE,E,SE
G10,0,0,0,0,0,0,0,0
G11,-0.175,-0.285,-0.345,0.385,0.485,0.335,-0.275,-0.27
G12,-0.35,-0.57,-0.69,0.77,0.97,0.67,-0.55,-0.54
H1,0.98,0.725,-0.61,-0.535,-0.36,-0.535,-0.61,0.725
H2,0.49,0.363,-0.305,-0.268,-0.18,-0.268,-0.305,0.363
H3,0,0,0,0,0,0,0,0
H4,0,0,0,0,0,0,0,0
H5,0,0,0,0,0,0,0,0
H6,0,0,0,0,0,0,0,0
H7,0,0,0,0,0,0,0,0
H8,0,0,0,0,0,0,0,0
H9,0,0,0,0,0,0,0,0
H10,0,0,0,0,0,0,0,0
H11,-0.18,-0.268,-0.305,0.363,0.49,0.363,-0.305,-0.268
H12,-0.36,-0.535,-0.61,0.725,0.98,0.725,-0.61,-0.535
I1,0.97,0.67,-0.55,-0.54,-0.35,-0.57,-0.69,0.77
I2,0.485,0.335,-0.275,-0.27,-0.175,-0.285,-0.345,0.385
I3,0,0,0,0,0,0,0,0
I4,0,0,0,0,0,0,0,0
I5,0,0,0,0,0,0,0,0
I6,0,0,0,0,0,0,0,0
I7,0,0,0,0,0,0,0,0
I8,0,0,0,0,0,0,0,0
I9,0,0,0,0,0,0,0,0
I10,0,0,0,0,0,0,0,0
I11,-0.175,-0.27,-0.275,0.335,0.485,0.385,-0.345,-0.285
I12,-0.35,-0.54,-0.55,0.67,0.97,0.77,-0.69,-0.57
J1,0.98,0.67,-0.51,-0.52,-0.36,-0.58,-0.76,0.79
J2,0.49,0.335,-0.255,-0.26,-0.18,-0.29,-0.38,0.395
J3,0,0,0,0,0,0,0,0
J4,0,0,0,0,0,0,0,0
J5,0,0,0,0,0,0,0,0
J6,0,0,0,0,0,0,0,0
J7,0,0,0,0,0,0,0,0
J8,0,0,0,0,0,0,0,0
J9,0,0,0,0,0,0,0,0
J10,0,0,0,0,0,0,0,0
J11,-0.18,-0.26,-0.255,0.335,0.49,0.395,-0.38,-0.29
J12,-0.36,-0.52,-0.51,0.67,0.98,0.79,-0.76,-0.58
K1,0.975,0.64,-0.435,-0.47,-0.375,-0.59,-0.89,0.79
K2,0.488,0.32,-0.218,-0.235,-0.188,-0.295,-0.445,0.395
K3,0,0,0,0,0,0,0,0
K4,0,0,0,0,0,0,0,0
K5,0,0,0,0,0,0,0,0
K6,0,0,0,0,0,0,0,0
K7,0,0,0,0,0,0,0,0
K8,0,0,0,0,0,0,0,0
K9,0,0,0,0,0,0,0,0
K10,0,0,0,0,0,0,0,0
K11,-0.188,-0.235,-0.218,0.32,0.488,0.395,-0.445,-0.295
K12,-0.375,-0.47,-0.435,0.64,0.975,0.79,-0.89,-0.59
L1,0.94,0.6,-0.39,-0.44,-0.38,-0.58,-0.95,0.78
L2,0.47,0.3,-0.195,-0.22,-0.19,-0.29,-0.475,0.39
L3,0,0,0,0,0,0,0,0
L4,0,0,0,0,0,0,0,0
L5,0,0,0,0,0,0,0,0
L6,0,0,0,0,0,0,0,0
L7,0,0,0,0,0,0,0,0
L8,0,0,0,0,0,0,0,0
L9,0,0,0,0,0,0,0,0
L10,0,0,0,0,0,0,0,0
L11,-0.19,-0.22,-0.195,0.3,0.47,0.39,-0.475,-0.29
L12,-0.38,-0.44,-0.39,0.6,0.94,0.78,-0.95,-0.58
M1,0.91,0.56,-0.36,-0.42,-0.39,-0.56,-1.05,0.81
M2,0.455,0.28,-0.18,-0.21,-0.195,-0.28,-0.525,0.405
M3,0,0,0,0,0,0,0,0
M4,0,0,0,0,0,0,0,0
M5,0,0,0,0,0,0,0,0
M6,0,0,0,0,0,0,0,0
M7,0,0,0,0,0,0,0,0
M8,0,0,0,0,0,0,0,0
M9,0,0,0,0,0,0,0,0
M10,0,0,0,0,0,0,0,0
M11,-0.195,-0.21,-0.18,0.28,0.455,0.405,-0.525,-0.28
M12,-0.39,-0.42,-0.36,0.56,0.91,0.81,-1.05,-0.56
N1,0.91,0.57,-0.36,-0.45,-0.42,-0.56,-1.14,0.9
N2,0.455,0.285,-0.18,-0.225,-0.21,-0.28,-0.57,0.45
N3,0,0,0,0,0,0,0,0
N4,0,0,0,0,0,0,0,0
N5,0,0,0,0,0,0,0,0
N6,0,0,0,0,0,0,0,0
N7,0,0,0,0,0,0,0,0
N8,0,0,0,0,0,0,0,0
N9,0,0,0,0,0,0,0,0
N10,0,0,0,0,0,0,0,0
N11,-0.21,-0.225,-0.18,0.285,0.455,0.45,-0.57,-0.28
N12,-0.42,-0.45,-0.36,0.57,0.91,0.9,-1.14,-0.56
O1,0.91,0.47,-0.36,-0.49,-0.42,-0.56,-1.37,0.97
O2,0.455,0.235,-0.18,-0.245,-0.21,-0.28,-0.685,0.485
O3,0,0,0,0,0,0,0,0
O4,0,0,0,0,0,0,0,0
O5,0,0,0,0,0,0,0,0
O6,0,0,0,0,0,0,0,0
O7,0,0,0,0,0,0,0,0
O8,0,0,0,0,0,0,0,0
O9,0,0,0,0,0,0,0,0
O10,0,0,0,0,0,0,0,0
O11,-0.21,-0.245,-0.18,0.235,0.455,0.485,-0.685,-0.28
O12,-0.42,-0.49,-0.36,0.47,0.91,0.97,-1.37,-0.56
