name,S,SW,W,NW,N,NE,E,SE
A1,0.91,0.97,-1.37,-0.56,-0.42,-0.49,-0.36,0.47
A2,0.455,0.485,-0.685,-0.28,-0.21,-0.245,-0.18,0.235
A3,0,0,0,0,0,0,0,0
A4,0,0,0,0,0,0,0,0
A5,0,0,0,0,0,0,0,0
A6,0,0,0,0,0,0,0,0
A7,0,0,0,0,0,0,0,0
A8,0,0,0,0,0,0,0,0
A9,0,0,0,0,0,0,0,0
A10,0,0,0,0,0,0,0,0
A11,-0.21,-0.28,-0.685,0.485,0.455,0.235,-0.18,-0.245
A12,-0.42,-0.56,-1.37,0.97,0.91,0.47,-0.36,-0.49
B1,0.91,0.9,-1.14,-0.56,-0.42,-0.45,-0.36,0.57
B2,0.455,0.45,-0.57,-0.28,-0.21,-0.225,-0.18,0.285
B3,0,0,0,0,0,0,0,0
B4,0,0,0,0,0,0,0,0
B5,0,0,0,0,0,0,0,0
B6,0,0,0,0,0,0,0,0
B7,0,0,0,0,0,0,0,0
B8,0,0,0,0,0,0,0,0
B9,0,0,0,0,0,0,0,0
B10,0,0,0,0,0,0,0,0
B11,-0.21,-0.28,-0.57,0.45,0.455,0.285,-0.18,-0.225
B12,-0.42,-0.56,-1.14,0.9,0.91,0.57,-0.36,-0.45
C1,0.91,0.81,-1.05,-0.56,-0.39,-0.42,-0.36,0.56
C2,0.455,0.405,-0.525,-0.28,-0.195,-0.21,-0.18,0.28
C3,0,0,0,0,0,0,0,0
C4,0,0,0,0,0,0,0,0
C5,0,0,0,0,0,0,0,0
C6,0,0,0,0,0,0,0,0
C7,0,0,0,0,0,0,0,0
C8,0,0,0,0,0,0,0,0
C9,0,0,0,0,0,0,0,0
C10,0,0,0,0,0,0,0,0
C11,-0.195,-0.28,-0.525,0.405,0.455,0.28,-0.18,-0.21
C12,-0.39,-0.56,-1.05,0.81,0.91,0.56,-0.36,-0.42
D1,0.94,0.78,-0.95,-0.58,-0.38,-0.44,-0.39,0.6
D2,0.47,0.39,-0.475,-0.29,-0.19,-0.22,-0.195,0.3
D3,0,0,0,0,0,0,0,0
D4,0,0,0,0,0,0,0,0
D5,0,0,0,0,0,0,0,0
D6,0,0,0,0,0,0,0,0
D7,0,0,0,0,0,0,0,0
D8,0,0,0,0,0,0,0,0
D9,0,0,0,0,0,0,0,0
D10,0,0,0,0,0,0,0,0
D11,-0.19,-0.29,-0.475,0.39,0.47,0.3,-0.195,-0.22
D12,-0.38,-0.58,-0.95,0.78,0.94,0.6,-0.39,-0.44
E1,0.975,0.79,-0.89,-0.59,-0.375,-0.47,-0.435,0.64
E2,0.488,0.395,-0.445,-0.295,-0.188,-0.235,-0.218,0.32
E3,0,0,0,0,0,0,0,0
E4,0,0,0,0,0,0,0,0
E5,0,0,0,0,0,0,0,0
E6,0,0,0,0,0,0,0,0
E7,0,0,0,0,0,0,0,0
E8,0,0,0,0,0,0,0,0
E9,0,0,0,0,0,0,0,0
E10,0,0,0,0,0,0,0,0
E11,-0.188,-0.295,-0.445,0.395,0.488,0.32,-0.218,-0.235
E12,-0.375,-0.59,-0.89,0.79,0.975,0.64,-0.435,-0.47
F1,0.98,0.79,-0.76,-0.58,-0.36,-0.52,-0.51,0.67
F2,0.49,0.395,-0.38,-0.29,-0.18,-0.26,-0.255,0.335
F3,0,0,0,0,0,0,0,0
F4,0,0,0,0,0,0,0,0
F5,0,0,0,0,0,0,0,0
F6,0,0,0,0,0,0,0,0
F7,0,0,0,0,0,0,0,0
F8,0,0,0,0,0,0,0,0
F9,0,0,0,0,0,0,0,0
F10,0,0,0,0,0,0,0,0
F11,-0.18,-0.29,-0.38,0.395,0.49,0.335,-0.255,-0.26
F12,-0.36,-0.58,-0.76,0.79,0.98,0.67,-0.51,-0.52
G1,0.97,0.77,-0.69,-0.57,-0.35,-0.54,-0.55,0.67
G2,0.485,0.385,-0.345,-0.285,-0.175,-0.27,-0.275,0.335
G3,0,0,0,0,0,0,0,0
G4,0,0,0,0,0,0,0,0
G5,0,0,0,0,0,0,0,0
G6,0,0,0,0,0,0,0,0
G7,0,0,0,0,0,0,0,0
G8,0,0,0,0,0,0,0,0
G9,0,0,0,0,0,0,0,0
