Connection,Zone,Coefficent
340,V4,1
341,V5,1
342,V6,1
343,V7,1
344,V8,1
345,V9,1
346,V10,1
347,V11,1
348,V12,1
349,V13,1
350,V14,1
351,V15,1
352,V16,1
353,W1,1
354,W2,1
355,W3,1
356,W4,1
357,W5,1
358,W6,1
359,W7,1
360,W8,1
361,W9,1
362,W10,1
363,W11,1
364,W12,1
365,W13,1
366,W14,1
367,W15,1
368,W16,1
369,A1,1
370,A2,1
371,A3,1
372,A4,1
373,A5,1
374,A6,1
375,A7,1
376,A8,1
377,A9,1
378,A10,1
379,A11,1
380,A12,1
381,A13,1
382,A14,1
383,A15,1
384,A16,1
385,B1,1
386,B2,1
387,B3,1
388,B4,1
389,B5,1
390,B6,1
391,B7,1
392,B8,1
393,B9,1
394,B10,1
395,B11,1
396,B12,1
397,B13,1
398,B14,1
399,B15,1
400,B16,1
401,C1,1
402,C2,1
403,C3,1
404,C4,1
405,C5,1
406,C6,1
407,C7,1
408,C8,1
409,C9,1
410,C10,1
411,C11,1
412,C12,1
413,C13,1
414,C14,1
415,C15,1
416,C16,1
417,D1,1
418,D2,1
419,D3,1
420,D4,1
421,D5,1
422,D6,1
423,D7,1
424,D8,1
425,D9,1
426,D10,1
427,D11,1
428,D12,1
429,D13,1
430,D14,1
431,D15,1
432,D16,1
433,E1,1
434,E2,1
435,E3,1
436,E4,1
437,E5,1
438,E6,1
439,E7,1
440,E8,1
441,E9,1
442,E10,1
443,E11,1
444,E12,1
445,E13,1
446,E14,1
447,E15,1
448,E16,1
449,F1,1
450,F2,1
451,F3,1
452,F4,1
453,F5,1
454,F6,1
455,F7,1
456,F8,1
457,F9,1
458,F10,1
459,F11,1
460,F12,1
461,F13,1
462,F14,1
463,F15,1
464,F16,1
465,G1,1
466,G2,1
467,G3,1
468,G4,1
469,G5,1
470,G6,1
471,G7,1
472,G8,1
473,G9,1
474,G10,1
475,G11,1
476,G12,1
477,G13,1
478,G14,1
479,G15,1
480,G16,1
481,H1,1
482,H2,1
483,H3,1
484,H4,1
485,H5,1
486,H6,1
487,H7,1
488,H8,1
489,H9,1
490,H10,1
491,H11,1
492,H12,1
493,H13,1
494,H14,1
495,H15,1
496,H16,1
497,I1,1
498,I2,1
499,I3,1
500,I4,1
501,I5,1
502,I6,1
503,I7,1
504,I8,1
505,I9,1
506,I10,1
507,I11,1
508,I12,1
509,I13,1
510,I14,1
511,I15,1
512,I16,1
513,J1,1
514,J2,1
515,J3,1
516,J4,1
517,J5,1
518,J6,1
519,J7,1
520,J8,1
521,J9,1
522,J10,1
523,J11,1
524,J12,1
525,J13,1
526,J14,1
527,J15,1
528,J16,1
529,K1,1
530,K2,1
531,K3,1
532,K4,1
533,K5,1
534,K6,1
535,K7,1
536,K8,1
537,K9,1
538,K10,1
539,K11,1
540,K12,1
541,K13,1
542,K14,1
543,K15,1
544,K16,1
545,L1,1
546,L2,1
547,L3,1
548,L4,1
549,L5,1
550,L6,1
551,L7,1
552,L8,1
553,L9,1
554,L10,1
555,L11,1
556,L12,1
557,L13,1
558,L14,1
559,L15,1
560,L16,1
561,M1,1
562,M2,1
563,M3,1
564,M4,1
565,M5,1
566,M6,1
567,M7,1
568,M8,1
569,M9,1
570,M10,1
571,M11,1
572,M12,1
573,M13,1
574,M14,1
575,M15,1
576,M16,1
577,N1,1
578,N2,1
579,N3,1
580,N4,1
581,N5,1
582,N6,1
583,N7,1
584,N8,1
585,N9,1
586,N10,1
587,N11,1
588,N12,1
589,N13,1
590,N14,1
591,N15,1
592,N16,1
593,O1,1
594,O2,1
595,O3,1
596,O4,1
597,O5,1
598,O6,1
599,O7,1
600,O8,1
601,O9,1
602,O10,1
603,O11,1
604,O12,1
605,O13,1
606,O14,1
607,O15,1
608,O16,1
609,P1,1
610,P2,1
611,P3,1
612,P4,1
613,P5,1
614,P6,1
615,P7,1
616,P8,1
617,P9,1
618,P10,1
619,P11,1
620,P12,1
621,P13,1
622,P14,1
623,P15,1
624,P16,1
625,Q1,1
626,Q2,1
627,Q3,1
628,Q4,1
629,Q5,1
630,Q6,1
631,Q7,1
632,Q8,1
633,Q9,1
634,Q10,1
635,Q11,1
636,Q12,1
637,Q13,1
638,Q14,1
639,Q15,1
640,Q16,1
641,R1,1
642,R2,1
643,R3,1
644,R4,1
645,R5,1
646,R6,1
647,R7,1
648,R8,1
649,R9,1
650,R10,1
651,R11,1
652,R12,1
653,R13,1
654,R14,1
655,R15,1
656,R16,1
657,S1,1
658,S2,1
659,S3,1
660,S4,1
661,S5,1
662,S6,1
663,S7,1
664,S8,1
665,S9,1
666,S10,1
667,S11,1
668,S12,1
669,S13,1
670,S14,1
671,S15,1
672,S16,1
673,T1,1
674,T2,1
675,T3,1
676,T4,1
677,T5,1
678,T6,1
679,T7,1
680,T8,1
681,T9,1
682,T10,1
683,T11,1
684,T12,1
685,T13,1
686,T14,1
687,T15,1
688,T16,1
689,U1,1
690,U2,1
691,U3,1
692,U4,1
693,U5,1
694,U6,1
695,U7,1
696,U8,1
697,U9,1
698,U10,1
699,U11,1
700,U12,1
701,U13,1
702,U14,1
703,U15,1
704,U16,1
705,V1,1
706,V2,1
707,V3,1
708,V4,1
709,V5,1
710,V6,1
711,V7,1
712,V8,1
713,V9,1
714,V10,1
715,V11,1
716,V12,1
717,V13,1
718,V14,1
719,V15,1
720,V16,1
721,W1,1
722,W2,1
723,W3,1
724,W4,1
725,W5,1
726,W6,1
727,W7,1
728,W8,1
729,W9,1
730,W10,1
731,W11,1
732,W12,1
733,W13,1
734,W14,1
735,W15,1
736,W16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,A1,0.02,A2,0.92,A3,1,A4,0.48,A5,0.39,A6,0.35,A7,0.31,A8,0.27,A9,0.29,A10,0.26,A11,0.23,A12,0.2,A13,0.14,A14,0.01,A15,0,A16,0.16,B1,0.74,B2,0,B3,-0.11,B4,0.18,B5,0.18,B6,0.17,B7,0.16,B8,0.15,B9,0.18,B10,0.17,B11,0.15,B12,0.13,B13,0.11,B14,0.02,B15,0,B16,0.07,C1,0.36,C2,0,C3,-0.1,C4,0.09,C5,0.09,C6,0.08,C7,0.07,C8,0.07,C9,0.09,C10,0.08,C11,0.06,C12,0.05,C13,0.04,C14,0.02,C15,0,C16,-0.01
738,A1,0.16,A2,0,A3,0.01,A4,0.14,A5,0.2,A6,0.23,A7,0.26,A8,0.29,A9,0.27,A10,0.31,A11,0.35,A12,0.39,A13,0.48,A14,1,A15,0.92,A16,0.02,B1,0.07,B2,0,B3,0.02,B4,0.11,B5,0.13,B6,0.15,B7,0.17,B8,0.18,B9,0.15,B10,0.16,B11,0.17,B12,0.18,B13,0.18,B14,-0.11,B15,0,B16,0.74,C1,-0.01,C2,0,C3,0.02,C4,0.04,C5,0.05,C6,0.06,C7,0.08,C8,0.09,C9,0.07,C10,0.07,C11,0.08,C12,0.09,C13,0.09,C14,-0.1,C15,0,C16,0.36
739,A1,0.72,A2,0,A3,-0.09,A4,0.2,A5,0.2,A6,0.19,A7,0.18,A8,0.17,A9,0.2,A10,0.18,A11,0.16,A12,0.15,A13,0.11,A14,0.03,A15,0,A16,0.06,B1,-0.54,B2,0.92,B3,1.05,B4,0.37,B5,0.29,B6,0.23,B7,0.19,B8,0.14,B9,0.18,B10,0.14,B11,0.11,B12,0.08,B13,0.04,B14,0,B15,0,B16,0.03,C1,0.44,C2,0,C3,0,C4,0.13,C5,0.12,C6,0.11,C7,0.1,C8,0.08,C9,0.11,C10,0.09,C11,0.08,C12,0.06,C13,0.04,C14,0.02,C15,0,C16,-0.01
740,A1,0.06,A2,0,A3,0.03,A4,0.11,A5,0.15,A6,0.16,A7,0.18,A8,0.2,A9,0.17,A10,0.18,A11,0.19,A12,0.2,A13,0.2,A14,-0.09,A15,0,A16,0.72,B1,0.03,B2,0,B3,0,B4,0.04,B5,0.08,B6,0.11,B7,0.14,B8,0.18,B9,0.14,B10,0.19,B11,0.23,B12,0.29,B13,0.37,B14,1.05,B15,0.92,B16,-0.54,C1,-0.01,C2,0,C3,0.02,C4,0.04,C5,0.06,C6,0.08,C7,0.09,C8,0.11,C9,0.08,C10,0.1,C11,0.11,C12,0.12,C13,0.13,C14,0,C15,0,C16,0.44
741,B1,0.44,B2,0,B3,0,B4,0.13,B5,0.12,B6,0.11,B7,0.1,B8,0.08,B9,0.11,B10,0.09,B11,0.07,B12,0.06,B13,0.04,B14,0.02,B15,0,B16,-0.01,C1,-0.63,C2,0.92,C3,1.05,C4,0.33,C5,0.24,C6,0.19,C7,0.15,C8,0.1,C9,0.13,C10,0.1,C11,0.07,C12,0.04,C13,0.01,C14,0.01,C15,0,C16,-0.01,D1,0.44,D2,0,D3,0,D4,0.13,D5,0.12,D6,0.11,D7,0.1,D8,0.08,D9,0.11,D10,0.09,D11,0.07,D12,0.06,D13,0.04,D14,0.02,D15,0,D16,-0.01
742,B1,-0.01,B2,0,B3,0.02,B4,0.04,B5,0.06,B6,0.07,B7,0.09,B8,0.11,B9,0.08,B10,0.1,B11,0.11,B12,0.12,B13,0.13,B14,0,B15,0,B16,0.44,C1,-0.01,C2,0,C3,0.01,C4,0.01,C5,0.04,C6,0.07,C7,0.1,C8,0.13,C9,0.1,C10,0.15,C11,0.19,C12,0.24,C13,0.33,C14,1.05,C15,0.92,C16,-0.63,D1,-0.01,D2,0,D3,0.02,D4,0.04,D5,0.06,D6,0.07,D7,0.09,D8,0.11,D9,0.08,D10,0.1,D11,0.11,D12,0.12,D13,0.13,D14,0,D15,0,D16,0.44
743,C1,0.44,C2,0,C3,0,C4,0.13,C5,0.12,C6,0.11,C7,0.1,C8,0.08,C9,0.11,C10,0.09,C11,0.07,C12,0.06,C13,0.04,C14,0.02,C15,0,C16,-0.01,D1,-0.63,D2,0.92,D3,1.05,D4,0.33,D5,0.24,D6,0.19,D7,0.15,D8,0.1,D9,0.13,D10,0.1,D11,0.07,D12,0.04,D13,0.01,D14,0.01,D15,0,D16,-0.01,E1,0.44,E2,0,E3,0,E4,0.13,E5,0.12,E6,0.11,E7,0.1,E8,0.08,E9,0.11,E10,0.09,E11,0.07,E12,0.06,E13,0.04,E14,0.02,E15,0,E16,-0.01
744,C1,-0.01,C2,0,C3,0.02,C4,0.04,C5,0.06,C6,0.07,C7,0.09,C8,0.11,C9,0.08,C10,0.1,C11,0.11,C12,0.12,C13,0.13,C14,0,C15,0,C16,0.44,D1,-0.01,D2,0,D3,0.01,D4,0.01,D5,0.04,D6,0.07,D7,0.1,D8,0.13,D9,0.1,D10,0.15,D11,0.19,D12,0.24,D13,0.33,D14,1.05,D15,0.92,D16,-0.63,E1,-0.01,E2,0,E3,0.02,E4,0.04,E5,0.06,E6,0.07,E7,0.09,E8,0.11,E9,0.08,E10,0.1,E11,0.11,E12,0.12,E13,0.13,E14,0,E15,0,E16,0.44
745,D1,0.44,D2,0,D3,0,D4,0.13,D5,0.12,D6,0.11,D7,0.1,D8,0.08,D9,0.11,D10,0.09,D11,0.07,D12,0.06,D13,0.04,D14,0.02,D15,0,D16,-0.01,E1,-0.63,E2,0.92,E3,1.05,E4,0.33,E5,0.24,E6,0.19,E7,0.15,E8,0.1,E9,0.13,E10,0.1,E11,0.07,E12,0.04,E13,0.01,E14,0.01,E15,0,E16,-0.01,F1,0.44,F2,0,F3,0,F4,0.13,F5,0.12,F6,0.11,F7,0.1,F8,0.08,F9,0.11,F10,0.09,F11,0.07,F12,0.06,F13,0.04,F14,0.02,F15,0,F16,-0.01
746,D1,-0.01,D2,0,D3,0.02,D4,0.04,D5,0.06,D6,0.07,D7,0.09,D8,0.11,D9,0.08,D10,0.1,D11,0.11,D12,0.12,D13,0.13,D14,0,D15,0,D16,0.44,E1,-0.01,E2,0,E3,0.01,E4,0.01,E5,0.04,E6,0.07,E7,0.1,E8,0.13,E9,0.1,E10,0.15,E11,0.19,E12,0.24,E13,0.33,E14,1.05,E15,0.92,E16,-0.63,F1,-0.01,F2,0,F3,0.02,F4,0.04,F5,0.06,F6,0.07,F7,0.09,F8,0.11,F9,0.08,F10,0.1,F11,0.11,F12,0.12,F13,0.13,F14,0,F15,0,F16,0.44
747,E1,0.44,E2,0,E3,0,E4,0.13,E5,0.12,E6,0.11,E7,0.1,E8,0.08,E9,0.11,E10,0.09,E11,0.07,E12,0.06,E13,0.04,E14,0.02,E15,0,E16,-0.01,F1,-0.63,F2,0.92,F3,1.05,F4,0.33,F5,0.24,F6,0.19,F7,0.15,F8,0.1,F9,0.13,F10,0.1,F11,0.07,F12,0.04,F13,0.01,F14,0.01,F15,0,F16,-0.01,G1,0.44,G2,0,G3,0,G4,0.13,G5,0.12,G6,0.11,G7,0.1,G8,0.08,G9,0.11,G10,0.09,G11,0.07,G12,0.06,G13,0.04,G14,0.02,G15,0,G16,-0.01
748,E1,-0.01,E2,0,E3,0.02,E4,0.04,E5,0.06,E6,0.07,E7,0.09,E8,0.11,E9,0.08,E10,0.1,E11,0.11,E12,0.12,E13,0.13,E14,0,E15,0,E16,0.44,F1,-0.01,F2,0,F3,0.01,F4,0.01,F5,0.04,F6,0.07,F7,0.1,F8,0.13,F9,0.1,F10,0.15,F11,0.19,F12,0.24,F13,0.33,F14,1.05,F15,0.92,F16,-0.63,G1,-0.01,G2,0,G3,0.02,G4,0.04,G5,0.06,G6,0.07,G7,0.09,G8,0.11,G9,0.08,G10,0.1,G11,0.11,G12,0.12,G13,0.13,G14,0,G15,0,G16,0.44
749,F1,0.44,F2,0,F3,0,F4,0.13,F5,0.12,F6,0.11,F7,0.1,F8,0.08,F9,0.11,F10,0.09,F11,0.07,F12,0.06,F13,0.04,F14,0.02,F15,0,F16,-0.01,G1,-0.63,G2,0.92,G3,1.05,G4,0.33,G5,0.24,G6,0.19,G7,0.15,G8,0.1,G9,0.13,G10,0.1,G11,0.07,G12,0.04,G13,0.01,G14,0.01,G15,0,G16,-0.01,H1,0.44,H2,0,H3,0,H4,0.13,H5,0.12,H6,0.11,H7,0.1,H8,0.08,H9,0.11,H10,0.09,H11,0.07,H12,0.06,H13,0.04,H14,0.02,H15,0,H16,-0.01
750,F1,-0.01,F2,0,F3,0.02,F4,0.04,F5,0.06,F6,0.07,F7,0.09,F8,0.11,F9,0.08,F10,0.1,F11,0.11,F12,0.12,F13,0.13,F14,0,F15,0,F16,0.44,G1,-0.01,G2,0,G3,0.01,G4,0.01,G5,0.04,G6,0.07,G7,0.1,G8,0.13,G9,0.1,G10,0.15,G11,0.19,G12,0.24,G13,0.33,G14,1.05,G15,0.92,G16,-0.63,H1,-0.01,H2,0,H3,0.02,H4,0.04,H5,0.06,H6,0.07,H7,0.09,H8,0.11,H9,0.08,H10,0.1,H11,0.11,H12,0.12,H13,0.13,H14,0,H15,0,H16,0.44
751,G1,0.44,G2,0,G3,0,G4,0.13,G5,0.12,G6,0.11,G7,0.1,G8,0.08,G9,0.11,G10,0.09,G11,0.07,G12,0.06,G13,0.04,G14,0.02,G15,0,G16,-0.01,H1,-0.63,H2,0.92,H3,1.05,H4,0.33,H5,0.24,H6,0.19,H7,0.15,H8,0.1,H9,0.13,H10,0.1,H11,0.07,H12,0.04,H13,0.01,H14,0.01,H15,0,H16,-0.01,I1,0.44,I2,0,I3,0,I4,0.13,I5,0.12,I6,0.11,I7,0.1,I8,0.08,I9,0.11,I10,0.09,I11,0.07,I12,0.06,I13,0.04,I14,0.02,I15,0,I16,-0.01
752,G1,-0.01,G2,0,G3,0.02,G4,0.04,G5,0.06,G6,0.07,G7,0.09,G8,0.11,G9,0.08,G10,0.1,G11,0.11,G12,0.12,G13,0.13,G14,0,G15,0,G16,0.44,H1,-0.01,H2,0,H3,0.01,H4,0.01,H5,0.04,H6,0.07,H7,0.1,H8,0.13,H9,0.1,H10,0.15,H11,0.19,H12,0.24,H13,0.33,H14,1.05,H15,0.92,H16,-0.63,I1,-0.01,I2,0,I3,0.02,I4,0.04,I5,0.06,I6,0.07,I7,0.09,I8,0.11,I9,0.08,I10,0.1,I11,0.11,I12,0.12,I13,0.13,I14,0,I15,0,I16,0.44
753,H1,0.44,H2,0,H3,0,H4,0.13,H5,0.12,H6,0.11,H7,0.1,H8,0.08,H9,0.11,H10,0.09,H11,0.07,H12,0.06,H13,0.04,H14,0.02,H15,0,H16,-0.01,I1,-0.63,I2,0.92,I3,1.05,I4,0.33,I5,0.24,I6,0.19,I7,0.15,I8,0.1,I9,0.13,I10,0.1,I11,0.07,I12,0.04,I13,0.01,I14,0.01,I15,0,I16,-0.01,J1,0.44,J2,0,J3,0,J4,0.13,J5,0.12,J6,0.11,J7,0.1,J8,0.08,J9,0.11,J10,0.09,J11,0.07,J12,0.06,J13,0.04,J14,0.02,J15,0,J16,-0.01
754,H1,-0.01,H2,0,H3,0.02,H4,0.04,H5,0.06,H6,0.07,H7,0.09,H8,0.11,H9,0.08,H10,0.1,H11,0.11,H12,0.12,H13,0.13,H14,0,H15,0,H16,0.44,I1,-0.01,I2,0,I3,0.01,I4,0.01,I5,0.04,I6,0.07,I7,0.1,I8,0.13,I9,0.1,I10,0.15,I11,0.19,I12,0.24,I13,0.33,I14,1.05,I15,0.92,I16,-0.63,J1,-0.01,J2,0,J3,0.02,J4,0.04,J5,0.06,J6,0.07,J7,0.09,J8,0.11,J9,0.08,J10,0.1,J11,0.11,J12,0.12,J13,0.13,J14,0,J15,0,J16,0.44
755,I1,0.44,I2,0,I3,0,I4,0.13,I5,0.12,I6,0.11,I7,0.1,I8,0.08,I9,0.11,I10,0.09,I11,0.07,I12,0.06,I13,0.04,I14,0.02,I15,0,I16,-0.01,J1,-0.63,J2,0.92,J3,1.05,J4,0.33,J5,0.24,J6,0.19,J7,0.15,J8,0.1,J9,0.13,J10,0.1,J11,0.07,J12,0.04,J13,0.01,J14,0.01,J15,0,J16,-0.01,K1,0.44,K2,0,K3,0,K4,0.13,K5,0.12,K6,0.11,K7,0.1,K8,0.08,K9,0.11,K10,0.09,K11,0.07,K12,0.06,K13,0.04,K14,0.02,K15,0,K16,-0.01
756,I1,-0.01,I2,0,I3,0.02,I4,0.04,I5,0.06,I6,0.07,I7,0.09,I8,0.11,I9,0.08,I10,0.1,I11,0.11,I12,0.12,I13,0.13,I14,0,I15,0,I16,0.44,J1,-0.01,J2,0,J3,0.01,J4,0.01,J5,0.04,J6,0.07,J7,0.1,J8,0.13,J9,0.1,J10,0.15,J11,0.19,J12,0.24,J13,0.33,J14,1.05,J15,0.92,J16,-0.63,K1,-0.01,K2,0,K3,0.02,K4,0.04,K5,0.06,K6,0.07,K7,0.09,K8,0.11,K9,0.08,K10,0.1,K11,0.11,K12,0.12,K13,0.13,K14,0,K15,0,K16,0.44
757,J1,0.44,J2,0,J3,0,J4,0.13,J5,0.12,J6,0.11,J7,0.1,J8,0.08,J9,0.11,J10,0.09,J11,0.07,J12,0.06,J13,0.04,J14,0.02,J15,0,J16,-0.01,K1,-0.63,K2,0.92,K3,1.05,K4,0.33,K5,0.24,K6,0.19,K7,0.15,K8,0.1,K9,0.13,K10,0.1,K11,0.07,K12,0.04,K13,0.01,K14,0.01,K15,0,K16,-0.01,L1,0.44,L2,0,L3,0,L4,0.13,L5,0.12,L6,0.11,L7,0.1,L8,0.08,L9,0.11,L10,0.09,L11,0.07,L12,0.06,L13,0.04,L14,0.02,L15,0,L16,-0.01
758,J1,-0.01,J2,0,J3,0.02,J4,0.04,J5,0.06,J6,0.07,J7,0.09,J8,0.11,J9,0.08,J10,0.1,J11,0.11,J12,0.12,J13,0.13,J14,0,J15,0,J16,0.44,K1,-0.01,K2,0,K3,0.01,K4,0.01,K5,0.04,K6,0.07,K7,0.1,K8,0.13,K9,0.1,K10,0.15,K11,0.19,K12,0.24,K13,0.33,K14,1.05,K15,0.92,K16,-0.63,L1,-0.01,L2,0,L3,0.02,L4,0.04,L5,0.06,L6,0.07,L7,0.09,L8,0.11,L9,0.08,L10,0.1,L11,0.11,L12,0.12,L13,0.13,L14,0,L15,0,L16,0.44
759,K1,0.44,K2,0,K3,0,K4,0.13,K5,0.12,K6,0.11,K7,0.1,K8,0.08,K9,0.11,K10,0.09,K11,0.07,K12,0.06,K13,0.04,K14,0.02,K15,0,K16,-0.01,L1,-0.63,L2,0.92,L3,1.05,L4,0.33,L5,0.24,L6,0.19,L7,0.15,L8,0.1,L9,0.13,L10,0.1,L11,0.07,L12,0.04,L13,0.01,L14,0.01,L15,0,L16,-0.01,M1,0.44,M2,0,M3,0,M4,0.13,M5,0.12,M6,0.11,M7,0.1,M8,0.08,M9,0.11,M10,0.09,M11,0.07,M12,0.06,M13,0.04,M14,0.02,M15,0,M16,-0.01
760,K1,-0.01,K2,0,K3,0.02,K4,0.04,K5,0.06,K6,0.07,K7,0.09,K8,0.11,K9,0.08,K10,0.1,K11,0.11,K12,0.12,K13,0.13,K14,0,K15,0,K16,0.44,L1,-0.01,L2,0,L3,0.01,L4,0.01,L5,0.04,L6,0.07,L7,0.1,L8,0.13,L9,0.1,L10,0.15,L11,0.19,L12,0.24,L13,0.33,L14,1.05,L15,0.92,L16,-0.63,M1,-0.01,M2,0,M3,0.02,M4,0.04,M5,0.06,M6,0.07,M7,0.09,M8,0.11,M9,0.08,M10,0.1,M11,0.11,M12,0.12,M13,0.13,M14,0,M15,0,M16,0.44
761,L1,0.44,L2,0,L3,0,L4,0.13,L5,0.12,L6,0.11,L7,0.1,L8,0.08,L9,0.11,L10,0.09,L11,0.07,L12,0.06,L13,0.04,L14,0.02,L15,0,L16,-0.01,M1,-0.63,M2,0.92,M3,1.05,M4,0.33,M5,0.24,M6,0.19,M7,0.15,M8,0.1,M9,0.13,M10,0.1,M11,0.07,M12,0.04,M13,0.01,M14,0.01,M15,0,M16,-0.01,N1,0.44,N2,0,N3,0,N4,0.13,N5,0.12,N6,0.11,N7,0.1,N8,0.08,N9,0.11,N10,0.09,N11,0.07,N12,0.06,N13,0.04,N14,0.02,N15,0,N16,-0.01
762,L1,-0.01,L2,0,L3,0.02,L4,0.04,L5,0.06,L6,0.07,L7,0.09,L8,0.11,L9,0.08,L10,0.1,L11,0.11,L12,0.12,L13,0.13,L14,0,L15,0,L16,0.44,M1,-0.01,M2,0,M3,0.01,M4,0.01,M5,0.04,M6,0.07,M7,0.1,M8,0.13,M9,0.1,M10,0.15,M11,0.19,M12,0.24,M13,0.33,M14,1.05,M15,0.92,M16,-0.63,N1,-0.01,N2,0,N3,0.02,N4,0.04,N5,0.06,N6,0.07,N7,0.09,N8,0.11,N9,0.08,N10,0.1,N11,0.11,N12,0.12,N13,0.13,N14,0,N15,0,N16,0.44
