Connection,Zone,Coefficent
1,A1,1
2,A2,1
3,A3,1
4,A4,1
5,A5,1
6,A6,1
7,A7,1
8,A8,1
9,A9,1
10,A10,1
11,A11,1
12,A12,1
13,A13,1
14,A14,1
15,A15,1
16,A16,1
17,B1,1
18,B2,1
19,B3,1
20,B4,1
21,B5,1
22,B6,1
23,B7,1
24,B8,1
25,B9,1
26,B10,1
27,B11,1
28,B12,1
29,B13,1
30,B14,1
31,B15,1
32,B16,1
33,C1,1
34,C2,1
35,C3,1
36,C4,1
37,C5,1
38,C6,1
39,C7,1
40,C8,1
41,C9,1
42,C10,1
43,C11,1
44,C12,1
45,C13,1
46,C14,1
47,C15,1
48,C16,1
49,D1,1
50,D2,1
51,D3,1
52,D4,1
53,D5,1
54,D6,1
55,D7,1
56,D8,1
57,D9,1
58,D10,1
59,D11,1
60,D12,1
61,D13,1
62,D14,1
63,D15,1
64,D16,1
65,E1,1
66,E2,1
67,E3,1
68,E4,1
69,E5,1
70,E6,1
71,E7,1
72,E8,1
73,E9,1
74,E10,1
75,E11,1
76,E12,1
77,E13,1
78,E14,1
79,E15,1
80,E16,1
81,F1,1
82,F2,1
83,F3,1
84,F4,1
85,F5,1
86,F6,1
87,F7,1
88,F8,1
89,F9,1
90,F10,1
91,F11,1
92,F12,1
93,F13,1
94,F14,1
95,F15,1
96,F16,1
97,G1,1
98,G2,1
99,G3,1
100,G4,1
101,G5,1
102,G6,1
103,G7,1
104,G8,1
105,G9,1
106,G10,1
107,G11,1
108,G12,1
109,G13,1
110,G14,1
111,G15,1
112,G16,1
113,H1,1
114,H2,1
115,H3,1
116,H4,1
117,H5,1
118,H6,1
119,H7,1
120,H8,1
121,H9,1
122,H10,1
123,H11,1
124,H12,1
125,H13,1
126,H14,1
127,H15,1
128,H16,1
129,I1,1
130,I2,1
131,I3,1
132,I4,1
133,I5,1
134,I6,1
135,I7,1
136,I8,1
137,I9,1
138,I10,1
139,I11,1
140,I12,1
141,I13,1
142,I14,1
143,I15,1
144,I16,1
145,J1,1
146,J2,1
147,J3,1
148,J4,1
149,J5,1
150,J6,1
151,J7,1
152,J8,1
153,J9,1
154,J10,1
155,J11,1
156,J12,1
157,J13,1
158,J14,1
159,J15,1
160,J16,1
161,K1,1
162,K2,1
163,K3,1
164,K4,1
165,K5,1
166,K6,1
167,K7,1
168,K8,1
169,K9,1
170,K10,1
171,K11,1
172,K12,1
173,K13,1
174,K14,1
175,K15,1
176,K16,1
177,L1,1
178,L2,1
179,L3,1
180,L4,1
181,L5,1
182,L6,1
183,L7,1
184,L8,1
185,L9,1
186,L10,1
187,L11,1
188,L12,1
189,L13,1
190,L14,1
191,L15,1
192,L16,1
193,M1,1
194,M2,1
195,M3,1
196,M4,1
197,M5,1
198,M6,1
199,M7,1
200,M8,1
201,M9,1
202,M10,1
203,M11,1
204,M12,1
205,M13,1
206,M14,1
207,M15,1
208,M16,1
209,N1,1
210,N2,1
211,N3,1
212,N4,1
213,N5,1
214,N6,1
215,N7,1
216,N8,1
217,N9,1
218,N10,1
219,N11,1
220,N12,1
221,N13,1
222,N14,1
223,N15,1
224,N16,1
225,O1,1
226,O2,1
227,O3,1
228,O4,1
229,O5,1
230,O6,1
231,O7,1
232,O8,1
233,O9,1
234,O10,1
235,O11,1
236,O12,1
237,O13,1
238,O14,1
239,O15,1
240,O16,1
241,P1,1
242,P2,1
243,P3,1
244,P4,1
245,P5,1
246,P6,1
247,P7,1
248,P8,1
249,P9,1
250,P10,1
251,P11,1
252,P12,1
253,P13,1
254,P14,1
255,P15,1
256,P16,1
257,Q1,1
258,Q2,1
259,Q3,1
260,Q4,1
261,Q5,1
262,Q6,1
263,Q7,1
264,Q8,1
265,Q9,1
266,Q10,1
267,Q11,1
268,Q12,1
269,Q13,1
270,Q14,1
271,Q15,1
272,Q16,1
273,R1,1
274,R2,1
275,R3,1
276,R4,1
277,R5,1
278,R6,1
279,R7,1
280,R8,1
281,R9,1
282,R10,1
283,R11,1
284,R12,1
285,R13,1
286,R14,1
287,R15,1
288,R16,1
289,S1,1
290,S2,1
291,S3,1
292,S4,1
293,S5,1
294,S6,1
295,S7,1
296,S8,1
297,S9,1
298,S10,1
299,S11,1
300,S12,1
301,S13,1
302,S14,1
303,S15,1
304,S16,1
305,T1,1
306,T2,1
307,T3,1
308,T4,1
309,T5,1
310,T6,1
311,T7,1
312,T8,1
313,T9,1
314,T10,1
315,T11,1
316,T12,1
317,T13,1
318,T14,1
319,T15,1
320,T16,1
321,U1,1
322,U2,1
323,U3,1
324,U4,1
325,U5,1
326,U6,1
327,U7,1
328,U8,1
329,U9,1
330,U10,1
331,U11,1
332,U12,1
333,U13,1
334,U14,1
335,U15,1
336,U16,1
337,V1,1
338,V2,1
339,V3,1
