name,area,cpi_alpha,wall_dir
A1,0.2025,0,0
A2,0.405,0.5,0
A3,0.405,1,0
A4,0.405,1,0
A5,0.405,1,0
A6,0.2025,1,0
A7,0.2025,1,0
A8,0.405,1,0
A9,0.405,1,0
A10,0.405,1,0
A11,0.405,0.5,0
A12,0.2025,0,0
A13,2.025,0.8,0
A14,2.025,0.8,0
B1,0.405,0,0
B2,0.81,0.5,0
B3,0.81,1,0
B4,0.81,1,0
B5,0.81,1,0
B6,0.405,1,0
B7,0.405,1,0
B8,0.81,1,0
B9,0.81,1,0
B10,0.81,1,0
B11,0.81,0.5,0
B12,0.405,0,0
B13,4.05,0.8,0
B14,4.05,0.8,0
C1,0.405,0,0
C2,0.81,0.5,0
C3,0.81,1,0
C4,0.81,1,0
C5,0.81,1,0
C6,0.405,1,0
C7,0.405,1,0
C8,0.81,1,0
C9,0.81,1,0
C10,0.81,1,0
C11,0.81,0.5,0
C12,0.405,0,0
C13,4.05,0.8,0
C14,4.05,0.8,0
D1,0.405,0,0
D2,0.81,0.5,0
D3,0.81,1,0
D4,0.81,1,0
D5,0.81,1,0
D6,0.405,1,0
D7,0.405,1,0
D8,0.81,1,0
D9,0.81,1,0
D10,0.81,1,0
D11,0.81,0.5,0
D12,0.405,0,0
D13,4.05,0.8,0
D14,4.05,0.8,0
E1,0.405,0,0
E2,0.81,0.5,0
E3,0.81,1,0
E4,0.81,1,0
E5,0.81,1,0
E6,0.405,1,0
E7,0.405,1,0
E8,0.81,1,0
E9,0.81,1,0
E10,0.81,1,0
E11,0.81,0.5,0
E12,0.405,0,0
E13,4.05,0.8,0
E14,4.05,0.8,0
