name,description,wall_name,area,coverage_type
1,window,1,3.6,Glass_annealed_6mm
2,door,1,1.8,Timber_door
3,window,1,1.89,Glass_annealed_6mm
4,window,1,1.89,Glass_annealed_6mm
5,window,3,1.89,Glass_annealed_6mm
6,window,3,1.89,Glass_annealed_6mm
7,window,5,1.89,Glass_annealed_6mm
8,door,5,1.8,Timber_door
9,window,5,0.54,Glass_annealed_6mm
10,window,5,0.27,Glass_annealed_6mm
11,window,5,1.89,Glass_annealed_6mm
12,weatherboard,1,22.02,Weatherboard
13,sheet,3,18.22,Cement_sheeting
14,sheet,5,24.81,Cement_sheeting
15,sheet,7,22,Cement_sheeting
